序号,审批状态,主键ID,主键ID版本号,启禁状态,技术标准版本号,关联物料,物料品类,物料大类,物料归属,适用生产基地代码,适用生产基地名称,检测项目代码,检测项目,是否判定,检测时间,抽样检测方式,取样部门,检测部门,定量定性,初检复检,检测单元数量,检测次数,检测单元单位,检测频率,取样数量,取样单位,是否扣减库存,库存扣减数量,库存扣减单位,检测工具,标准要求,异常标准项,检测指标单位,下限,上限,小数精确位数,异常处理最低不合格量,异常结果显示,检测方法,超标处理方案,备注,有效期起,有效期止
103,,HWBT0113,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YC00000005,标签标识,是,到货检测,,储运部,品管部,定性,初检,8,等于,托盘,,32,罐,是,32,罐,目测检查,内容正确、无错位、无印刷不良,内容错误/内容错位/印刷不良,,,,,1,复检,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中4罐做本次检测。,若有不合格，在同一托复检1000罐。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
104,,HWBT0114,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YF00000016,标签标识,是,到货检测,,储运部,品管部,定性,复检,1,大于等于,托盘,,1000,罐,否,,,目测检查,内容正确、无错位、无印刷不良,内容错误/内容错位/印刷不良,,,,,1,退货处理,从初检问题托盘中每托取1000罐复检。,若仍有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
105,,HWBT0115,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YC00000005,外观质量,是,到货检测,,储运部,品管部,定性,初检,8,等于,托盘,,32,罐,是,32,罐,目测检查,无A类不合格,内涂发霉/罐内有异物/罐内有油污/罐体印刷脏/罐体外焊缝发黑/内流胶/焊缝有毛刺/砂眼/大于1cm²的凹痕/焊缝端两边错位大于0.5mm/内涂膜及焊缝补涂带有明显气泡/焊缝粉末喷涂擦伤露铁/罐体变形/罐体印刷有严重色差/罐体颜色超出标准/内印色/翻边损伤/缩颈变形/印刷图案倒置/罐身有明显划痕/翻边严重变形/罐底无蓝点/蓝点严重划伤/冷焊/漏焊/孔洞/裂口/快口/假卷/大塌边/卷边不完全/卷边牙齿/铁舌/跳封/卷边碎裂/填料挤出/锐边/垂唇/双线,,,,,1,复检,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。32罐均做本次检测。,若有不合格，在同一托复检1000罐。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
106,,HWBT0116,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YC00000005,外观质量,是,到货检测,,储运部,品管部,定性,初检,8,等于,托盘,,32,罐,是,32,罐,目测检查,无B类不合格,轻度凹痕但缺陷电流合格/罐体轻微色差/内涂不匀或有小气泡/内涂有轻微划痕但缺陷电流合格/罐内有焊接飞溅点/填料轻微外挤出/翻边轻度变形/罐底蓝点脏污/罐底蓝点不全/蓝点轻微划伤/翻边轻微损伤/罐身有较多补涂飞溅点/翻边轻度损伤/强化型拉环露铝,,,,,1,复检,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。32罐均做本次检测。,若有不合格，在同一托复检1000罐。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
107,,HWBT0117,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YF00000016,外观质量,是,到货检测,,储运部,品管部,定性,复检,1,大于等于,托盘,,1000,罐,否,,,目测检查,无A类不合格,内涂发霉/罐内有异物/罐内有油污/罐体印刷脏/罐体外焊缝发黑/内流胶/焊缝有毛刺/砂眼/大于1cm²的凹痕/焊缝端两边错位大于0.5mm/内涂膜及焊缝补涂带有明显气泡/焊缝粉末喷涂擦伤露铁/罐体变形/罐体印刷有严重色差/罐体颜色超出标准/内印色/翻边损伤/缩颈变形/印刷图案倒置/罐身有明显划痕/翻边严重变形/罐底无蓝点/蓝点严重划伤/冷焊/漏焊/孔洞/裂口/快口/假卷/大塌边/卷边不完全/卷边牙齿/铁舌/跳封/卷边碎裂/填料挤出/锐边/垂唇/双线,,,,,1,退货处理,从初检问题托盘中每托取1000罐复检。,若仍有不合格，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
108,,HWBT0118,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,,,YF00000016,外观质量,是,到货检测,,储运部,品管部,定性,复检,1,大于等于,托盘,,1000,罐,否,,,目测检查,无B类不合格,轻度凹痕但缺陷电流合格/罐体轻微色差/内涂不匀或有小气泡/内涂有轻微划痕但缺陷电流合格/罐内有焊接飞溅点/填料轻微外挤出/翻边轻度变形/罐底蓝点脏污/罐底蓝点不全/蓝点轻微划伤/翻边轻微损伤/罐身有较多补涂飞溅点/翻边轻度损伤/强化型拉环露铝,,,,,50,退货处理,从初检问题托盘中每托取1000罐复检。,若有≥5%的不合格空罐B类缺陷，初检检测单元的所有商品做退货处理。,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
109,,HWBT0119,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,8886,红牛维他命饮料（江苏）有限公司,YC00000005,卷边厚度,否,到货检测,,储运部,品管部,定量,初检,8,等于,托盘,,32,罐,是,32,罐,卷封投影仪,1.20-1.40,,mm,1.2000,1.4000,2,1,不合格,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中4罐做本次检测。,参考标准，制作记录，与供应商及时沟通，暂不做复检和退货处理检测指标,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
110,,HWBT0120,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,8885,广东红牛维他命饮料有限公司,YC00000005,卷边厚度,否,到货检测,,储运部,品管部,定量,初检,8,等于,托盘,,32,罐,是,32,罐,卷封投影仪,1.20-1.50,,mm,1.2000,1.5000,2,1,不合格,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中4罐做本次检测。,参考标准，制作记录，与供应商及时沟通，暂不做复检和退货处理检测指标,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
111,,HWBT0121,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,8883,红牛维他命饮料（湖北）有限公司,YC00000005,卷边厚度,否,到货检测,,储运部,品管部,定量,初检,8,等于,托盘,,32,罐,是,32,罐,卷封投影仪,1.20-1.50,,mm,1.2000,1.5000,2,1,不合格,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中4罐做本次检测。,参考标准，制作记录，与供应商及时沟通，暂不做复检和退货处理检测指标,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
112,,HWBT0122,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,6866,华彬快速消费品饮料（福建）有限公司,YC00000005,卷边厚度,否,到货检测,,储运部,品管部,定量,初检,8,等于,托盘,,32,罐,是,32,罐,卷封投影仪,1.20-1.50,,mm,1.2000,1.5000,2,1,不合格,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中4罐做本次检测。,参考标准，制作记录，与供应商及时沟通，暂不做复检和退货处理检测指标,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
113,,HWBT0123,001,禁用,Q/RW-TS-001-2023,"[{'id': 17, 'name': '空罐/普通型/无顶盖/250ml', 'sap_code': '20000194', 'code': 'GC000017', 'desc': '普通型空罐'}, {'id': 36, 'name': '空罐/普通型/250ML/30周年版/无顶盖', 'sap_code': '20002028', 'code': 'GC000036', 'desc': '普通型空罐'}, {'id': 37, 'name': '空罐/普通型/250ML/31周年版/无顶盖', 'sap_code': '20002271', 'code': 'GC000037', 'desc': '普通型空罐'}, {'id': 38, 'name': '空罐/普通型/250ML/2026广东红包促销/无顶盖', 'sap_code': '20002273', 'code': 'GC000038', 'desc': '促销型空罐'}, {'id': 39, 'name': '空罐/普通型/250ML/2026广东1元乐享促销/无顶盖', 'sap_code': '20002274', 'code': 'GC000039', 'desc': '促销型空罐'}, {'id': 40, 'name': '空罐/强化型/250ml/蓝色/30周年版/无底盖', 'sap_code': '20002029', 'code': 'GC000040', 'desc': '强化型空罐'}, {'id': 41, 'name': '空罐/强化型/250ml/蓝色/31周年版/无底盖', 'sap_code': '20002272', 'code': 'GC000041', 'desc': '强化型空罐'}, {'id': 66, 'name': '空罐/普通型/250ML/2026扫码1元乐享-闽苏沪/无顶盖', 'sap_code': '20002294', 'code': 'GC000066', 'desc': '促销型空罐'}, {'id': 69, 'name': '空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖', 'sap_code': '20002303', 'code': 'GC000069', 'desc': '促销型空罐'}, {'id': 71, 'name': '空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖', 'sap_code': '20002305', 'code': 'GC000071', 'desc': '促销型空罐'}, {'id': 73, 'name': '空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖', 'sap_code': '20002315', 'code': 'GC000073', 'desc': '促销型空罐'}]",空罐,包材,红牛,6865,华彬快速消费品饮料（贵州）有限公司,YC00000005,卷边厚度,否,到货检测,,储运部,品管部,定量,初检,8,等于,托盘,,32,罐,是,32,罐,卷封投影仪,1.20-1.50,,mm,1.2000,1.5000,2,1,不合格,每8托为一个检测单元，每一托盘随机抽取样品4罐，共32罐，并做好标识。其中4罐做本次检测。,参考标准，制作记录，与供应商及时沟通，暂不做复检和退货处理检测指标,适用于原材料供应商制罐线改型、制罐设备大修后、换版及实验期间,2025-01-01,9999-12-31
