序号,商品名称,商品编码,是否礼盒装,单位重量吨/箱(组、包),有效期起,有效期至,单位货值元/箱(组、包),有效期起,有效期至,纸箱价格元/张,有效期起,有效期至
248,战马/310ML/24/罐装/1元乐享2023-LPL女版,11000206,否,0.00840,2023-01-01,9999-12-31,,,,,,
249,战马/310ML/24/罐装/常规-LPL男版,11000205,否,0.00840,2023-01-01,9999-12-31,,,,,,
250,战马/310ML/24/罐装/广深东扫码-LPL男版,11000204,否,0.00840,2023-01-01,9999-12-31,,,,,,
251,战马/310ML/24/罐装/1元乐享2023-LPL男版,11000203,否,0.00840,2023-01-01,9999-12-31,,,,,,
252,战马/310ML/24/罐装/常规-篮球,11000202,否,0.00840,2023-01-01,9999-12-31,,,,,,
253,战马/310ML/24/罐装/广深东扫码-篮球,11000201,否,0.00840,2023-01-01,9999-12-31,,,,,,
254,战马/310ML/24/罐装/1元乐享2023-篮球,11000200,否,0.00840,2023-01-01,9999-12-31,,,,,,
255,战马/310ML/24/罐装/2022/常规-LPL男版,11000178,否,0.00840,2023-01-01,9999-12-31,,,,,,
256,战马/310ML/24/罐装/2022/1元即享-LPL女版,11000177,否,0.00840,2023-01-01,9999-12-31,,,,,,
257,战马/310ML/24/罐装/2022/1元即享-LPL男版,11000176,否,0.00840,2023-01-01,9999-12-31,,,,,,
258,战马/310ML/24/罐装/2022/常规-LPL女版,11000174,否,0.00840,2023-01-01,9999-12-31,,,,,,
259,战马/310ML/24/罐装/2022/常规-篮球,11000173,否,0.00840,2023-01-01,9999-12-31,,,,,,
260,战马/310ML/24/罐装/2022/1元即享-街舞,11000172,否,0.00840,2023-01-01,9999-12-31,,,,,,
261,战马/310ML/24/罐装/2022/1元即享-篮球,11000171,否,0.00840,2023-01-01,9999-12-31,,,,,,
262,战马/310ML/24/罐装/2021/和平精英/扫码红包,11000156,否,0.00840,2023-01-01,9999-12-31,,,,,,
263,战马/310ML/24/罐装/2021/和平精英/礼上有礼,11000155,否,0.00840,2023-01-01,9999-12-31,,,,,,
264,战马/310ML/24/罐装/2021/扫码红包,11000153,否,0.00840,2023-01-01,9999-12-31,,,,,,
265,战马/310ML/24/罐装/2021/礼上有礼,11000152,否,0.00840,2023-01-01,9999-12-31,,,,,,
266,战马/310ML/24/罐装,11000011,否,0.00840,2023-01-01,9999-12-31,,,,,,
267,战马/310ML/24/罐装/赠饮,11000080,否,0.00840,2023-01-01,9999-12-31,,,,,,
268,战马/310ML/24/罐装/2020/箱内码,11000140,否,0.00840,2023-01-01,9999-12-31,,,,,,
269,战马/310ML/24/罐装/2020/1元畅享,11000096,否,0.00840,2023-01-01,9999-12-31,,,,,,
270,战马/310ML/24/罐装/2019/壹元乐享二阶段,11000086,否,0.00840,2023-01-01,9999-12-31,,,,,,
271,战马/310ML/24/罐装/2020/扫码红包,11000131,否,0.00840,2023-01-01,9999-12-31,,,,,,
272,战马/310ML/24/罐装/2020/1元轻松享,11000130,否,0.00840,2023-01-01,9999-12-31,,,,,,
273,战马/310ML/24/罐装/2019壹元乐享,11000063,否,0.00840,2023-01-01,9999-12-31,,,,,,
274,战马/310ML/24/罐装/2018壹元乐享,11000012,否,0.00840,2023-01-01,9999-12-31,,,,,,
275,战马/310ML/24/罐装/出口美国,11000143,否,0.00840,2023-01-01,9999-12-31,,,,,,
276,战马/310ML/24/罐装/出口韩国,11000092,否,0.00840,2023-01-01,9999-12-31,,,,,,
277,战马/500ML/24/含气,11000218,否,0.01350,2023-01-01,9999-12-31,,,,,,
278,战马/500ML/24/原味,11000217,否,0.01370,2023-01-01,9999-12-31,,,,,,
279,战马/400ML/15/不含气/常规-LPL女版,11000213,否,0.00730,2023-01-01,9999-12-31,,,,,,
280,战马/400ML/15/不含气/常规-LPL男版,11000212,否,0.00730,2023-01-01,9999-12-31,,,,,,
281,战马/400ML/15/不含气/2023/1元乐享-LPL女版,11000211,否,0.00730,2023-01-01,9999-12-31,,,,,,
282,战马/400ML/15/不含气/2023/1元乐享-LPL男版,11000210,否,0.00730,2023-01-01,9999-12-31,,,,,,
283,战马/400ML/15/不含气/2022/1元即享-LPL女版,11000184,否,0.00730,2023-01-01,9999-12-31,,,,,,
284,战马/400ML/15/不含气/2022/1元即享-LPL男版,11000183,否,0.00730,2023-01-01,9999-12-31,,,,,,
285,战马/400ML/15/不含气/出口韩国,11000094,否,0.00730,2023-01-01,9999-12-31,,,,,,
286,战马/400ML/15/不含气/2021/扫码红包,11000151,否,0.00730,2023-01-01,9999-12-31,,,,,,
287,战马/400ML/15/不含气/2021/礼上有礼,11000150,否,0.00730,2023-01-01,9999-12-31,,,,,,
288,战马/400ML/15/不含气/2020/1元畅享,11000100,否,0.00730,2023-01-01,9999-12-31,,,,,,
289,战马/400ML/15/不含气/2019壹元乐享,11000083,否,0.00730,2023-01-01,9999-12-31,,,,,,
290,战马/400ML/15/不含气/2018壹元乐享,11000014,否,0.00730,2023-01-01,9999-12-31,,,,,,
291,战马/400ML/15/含气/2019壹元乐享,11000084,否,0.00730,2023-01-01,9999-12-31,,,,,,
292,战马/400ML/15/含气/2018壹元乐享,11000015,否,0.00730,2023-01-01,9999-12-31,,,,,,
293,战马/400ML/15/不含气/赠饮,11000046,否,0.00730,2023-01-01,9999-12-31,,,,,,
294,战马/400ML/15/含气/赠饮,11000047,否,0.00730,2023-01-01,9999-12-31,,,,,,
295,战马/400ML/15/不含气/2019要疯产品,11000088,否,0.00730,2023-01-01,9999-12-31,,,,,,
296,战马/400ML/15/含气/战马要疯,11000040,否,0.00730,2023-01-01,9999-12-31,,,,,,
297,战马/400ML/15/含气/2020/1元轻松享,11000112,否,0.00730,2023-01-01,9999-12-31,,,,,,
298,战马/400ML/15/含气/2020/扫码红包,11000114,否,0.00730,2023-01-01,9999-12-31,,,,,,
299,战马/400ML/15/不含气/2020/1元轻松享,11000113,否,0.00730,2023-01-01,9999-12-31,,,,,,
300,战马/400ML/15/不含气/2020/扫码红包,11000115,否,0.00730,2023-01-01,9999-12-31,,,,,,
301,战马/400ML/15/含气,11000002,否,0.00730,2023-01-01,9999-12-31,,,,,,
302,战马/400ML/15/不含气,11000001,否,0.00730,2023-01-01,9999-12-31,,,,,,
303,红牛强化型十二罐常规礼盒,,否,0.00370,2023-01-01,9999-12-31,,,,,,
304,红牛普通型十二罐常规礼盒,,否,0.00370,2023-01-01,9999-12-31,,,,,,
305,红牛维生素功能饮料/普通型/250ML/24/29周年/广东箱内码一期/2024,10001044,否,0.00740,2024-04-01,9999-12-31,,,,,,
306,红牛维生素功能饮料/普通型/250ML/24/29周年/两元纸箱/台州专供一期,10001043,否,0.00740,2024-04-01,9999-12-31,,,,,,
307,红牛维生素功能饮料/牛磺酸强化型/250ml/24/29周年纪念装,10001035,否,0.00740,2024-04-01,9999-12-31,,,,,,
308,红牛维生素功能饮料/普通型/250ML/六罐装/29周年,10001034,否,0.00185,2024-04-01,9999-12-31,,,,,,
309,红牛维生素功能饮料/普通型/250ML/24/29周年纪念装,10001033,否,0.00740,2024-04-01,9999-12-31,,,,,,
310,红牛/250ML/24/28周年纪念装/广东促销二期/2023,10001029,否,0.00740,2023-01-01,9999-12-31,,,,,,
311,红牛/250ML/24/28周年纪念装/两元促销/台州专供三期,10001028,否,0.00740,2023-01-01,9999-12-31,,,,,,
312,红牛/普通型/250ML/24/2023普通装箱内码二期,10001025,否,0.00740,2023-01-01,9999-12-31,,,,,,
313,红牛/250ML/24/28周年纪念装/两元促销/台州专供二期,10001024,否,0.00740,2023-01-01,9999-12-31,,,,,,
314,红牛/250ML/24/28周年普通型-含箱内码/2023,10001017,否,0.00740,2023-01-01,9999-12-31,,,,,,
315,红牛/普通型/250ML/24/广东促销/2023,10001020,否,0.00740,2023-01-01,9999-12-31,,,,,,
316,红牛/普通型/250ML/24/扫码促销-含箱内码/2023,10001016,否,0.00740,2023-01-01,9999-12-31,,,,,,
317,红牛/250ML/扫码促销/六罐装/2023,10001015,否,0.00185,2023-01-01,9999-12-31,,,,,,
318,红牛/普通型/250ML/24/1元换购-藏区/2023,10001019,否,0.00740,2023-01-01,9999-12-31,,,,,,
319,红牛/普通型/250ML/24/1元换购/2023,10001018,否,0.00740,2023-01-01,9999-12-31,,,,,,
320,红牛/普通型/250ML/24/扫码促销/2023,10001014,否,0.00740,2023-01-01,9999-12-31,,,,,,
321,红牛/250ML/24/扫码促销/两元促销/台州专供,10001013,否,0.00740,2023-01-01,9999-12-31,,,,,,
322,红牛/强化型/250ml/蓝色/24/28周年,10001003,否,0.00740,2023-01-01,9999-12-31,112.80,2023-01-02,2027-04-30,,,
323,红牛/普通型/250ML/六罐装/28周年,10001001,否,0.00185,2023-01-01,9999-12-31,,,,,,
324,红牛/250ML/24/28周年纪念装,10001000,否,0.00740,2023-01-01,9999-12-31,,,,,,
325,红牛/250ML/24/28周年纪念装/两元促销/台州专供,10000998,否,0.00740,2023-01-01,9999-12-31,,,,,,
326,红牛/250ML/24/27周年版/两元促销/台州专供,10000997,否,0.00740,2023-01-01,9999-12-31,,,,,,
327,红牛维生素功能饮料/普通型/250ML/12/2024开门红加大礼盒,10001031,否,0.00370,2024-04-01,9999-12-31,,,,,,
328,红牛维生素功能饮料/普通型/250ML/12/2024开门红礼盒,10001030,否,0.00370,2024-04-01,9999-12-31,,,,,,
329,红牛/250ML/12/2023开门红加大礼盒,10000994,否,0.00370,2023-01-01,9999-12-31,,,,,,
330,红牛/250ML/12/2023开门红礼盒,10000993,否,0.00370,2023-01-01,9999-12-31,,,,,,
331,红牛/普通型/250ML/24/2022普通装箱内码2期,10000978,否,0.00740,2023-01-01,9999-12-31,,,,,,
332,红牛/普通型/250ML/24/1元乐享/2022,10000962,否,0.00740,2023-01-01,9999-12-31,,,,,,
333,红牛/普通型/250ML/24/广东促销/2022,10000961,否,0.00740,2023-01-01,9999-12-31,,,,,,
334,红牛/250ML/扫码促销/六罐装/缩膜装/2022,10000960,否,0.00185,2023-01-01,9999-12-31,,,,,,
335,红牛/普通型/250ML/24/2022普通装箱内码,10000959,否,0.00740,2023-01-01,9999-12-31,,,,,,
336,红牛/普通型/250ML/24/扫码促销-含箱内码/2022,10000957,否,0.00740,2023-01-01,9999-12-31,,,,,,
337,红牛/普通型/250ML/24/扫码促销/2022,10000955,否,0.00740,2023-01-01,9999-12-31,,,,,,
338,红牛/强化型/250ml/蓝色/24/27周年,10000945,否,0.00740,2023-01-01,9999-12-31,,,,,,
339,红牛/普通型/250ML/六罐装/27周年,10000944,否,0.00185,2023-01-01,9999-12-31,,,,,,
340,红牛/250ML/24/27周年纪念装,10000943,否,0.00740,2023-01-01,9999-12-31,,,,,,
341,红牛/250ML/12/2022开门红加大礼盒,10000938,否,0.00370,2023-01-01,9999-12-31,,,,,,
342,红牛/250ML/12/2022开门红礼盒,10000937,否,0.00370,2023-01-01,9999-12-31,,,,,,
343,红牛/普通型/250ML/24/普通箱内码促销/2021,10000932,否,0.00740,2023-01-01,9999-12-31,,,,,,
344,红牛/普通型/250ML/24/箱内码/电子标签/2021,10000931,否,0.00740,2023-01-01,9999-12-31,,,,,,
345,红牛/250ML/12/2021双节礼盒,10000928,否,0.00370,2023-01-01,9999-12-31,,,,,,
346,红牛/250ML/2021/扫码促销/六罐装/缩膜装,10000914,否,0.00185,2023-01-01,9999-12-31,,,,,,
347,红牛/普通型/250ML/24/1元享红牛/2021,10000919,否,0.00740,2023-01-01,9999-12-31,,,,,,
348,红牛/普通型/250ML/24/广东促销/2021,10000917,否,0.00740,2023-01-01,9999-12-31,,,,,,
349,红牛/普通型/250ML/24/广东促销-非电子标签/2021,10000916,否,0.00740,2023-01-01,9999-12-31,,,,,,
350,红牛/普通型/250ML/24/扫码促销-箱内码/2021,10000915,否,0.00740,2023-01-01,9999-12-31,,,,,,
351,红牛/普通型/250ML/24/扫码促销/2021,10000913,否,0.00740,2023-01-01,9999-12-31,,,,,,
352,红牛/250ML/2020/1元轻松享/六罐装/缩膜装,10000845,否,0.00185,2023-01-01,9999-12-31,,,,,,
353,红牛/250ML/2020/扫码促销/六罐装/缩膜装,10000843,否,0.00185,2023-01-01,9999-12-31,,,,,,
354,红牛/普通型/250ML/2019壹元再享/六罐装/缩膜装,10000788,否,0.00185,2023-01-01,9999-12-31,,,,,,
355,红牛/普通型/250ML/2019扫码促销/六罐装/缩膜装,10000784,否,0.00185,2023-01-01,9999-12-31,,,,,,
356,红牛/普通型/250ML/2018壹元乐享/六罐装/缩膜装,10000750,否,0.00185,2023-01-01,9999-12-31,,,,,,
357,红牛/普通型/250ML/2018扫码促销/六罐装/缩膜装,10000746,否,0.00185,2023-01-01,9999-12-31,,,,,,
358,红牛/普通型/250ML/六罐装/26周年,10000901,否,0.00185,2023-01-01,9999-12-31,,,,,,
359,红牛/普通型/250ML/六罐装/25周年,10000820,否,0.00185,2023-01-01,9999-12-31,,,,,,
360,红牛/普通型/250ML/六罐装/缩膜装,10000387,否,0.00185,2023-01-01,9999-12-31,,,,,,
361,红牛维生素功能饮料/牛磺酸强化型/250ml/四罐装,10000044,否,0.00123,2024-04-01,9999-12-31,,,,,,
362,红牛/强化型/250ml/蓝色/24,10000001,否,0.00740,2023-01-01,9999-12-31,,,,,,
363,红牛/强化型/250ml/蓝色/24/充氮,10000177,否,0.00740,2023-01-01,9999-12-31,,,,,,
364,红牛/强化型/250ml/蓝色/24/26周年,10000902,否,0.00740,2023-01-01,9999-12-31,,,,,,
365,红牛/强化型/250ml/蓝色/24/25周年,10000822,否,0.00740,2023-01-01,9999-12-31,,,,,,
366,红牛/普通型/250ML/24/1元轻松享/2020,10000844,否,0.00740,2023-01-01,9999-12-31,,,,,,
367,红牛/普通型/250ML/24/壹元再享/2019,10000787,否,0.00740,2023-01-01,9999-12-31,,,,,,
368,红牛/普通型/250ML/24/壹元乐享/2018,10000748,否,0.00740,2023-01-01,9999-12-31,,,,,,
369,红牛/普通型/250ML/24/华新扫码-3元箱码/2020,10000832,否,0.00740,2023-01-01,9999-12-31,,,,,,
370,红牛/普通型/250ML/24/扫码促销-3元箱码/2020,10000831,否,0.00740,2023-01-01,9999-12-31,,,,,,
371,红牛/普通型/250ML/24/扫码促销-2元箱码/2020,10000830,否,0.00740,2023-01-01,9999-12-31,,,,,,
372,红牛/普通型/250ML/24/扫码促销-3元纸箱/2019,10000794,否,0.00740,2023-01-01,9999-12-31,,,,,,
373,红牛/普通型/250ML/24/扫码促销/2020,10000829,否,0.00740,2023-01-01,9999-12-31,,,,,,
374,红牛/普通型/250ML/24/扫码促销/2019,10000783,否,0.00740,2023-01-01,9999-12-31,,,,,,
375,红牛/普通型/250ML/24/华新/扫码促销-3元纸箱/2019,10000795,否,0.00740,2023-01-01,9999-12-31,,,,,,
376,红牛/普通型/250ML/24/华新/扫码促销/2019,10000785,否,0.00740,2023-01-01,9999-12-31,,,,,,
377,红牛/普通型/250ML/24/2018扫码促销/华新专供,10000745,否,0.00740,2023-01-01,9999-12-31,,,,,,
378,红牛/普通型/250ML/24/扫码促销/2018,10000744,否,0.00740,2023-01-01,9999-12-31,,,,,,
379,红牛/普通型/250ML/24/华新/25周年,10000819,否,0.00740,2023-01-01,9999-12-31,,,,,,
380,红牛/普通型/250ml/24/华新/充氮,10000163,否,0.00740,2023-01-01,9999-12-31,,,,,,
381,红牛/普通型/250ML/24/华南1元轻松享/2020,10000876,否,0.00740,2023-01-01,9999-12-31,,,,,,
382,红牛/普通型/250ML/24/华南促销/2021,10000875,否,0.00740,2023-01-01,9999-12-31,,,,,,
383,红牛/普通型/250ML/24/箱内码促销/2020,10000869,否,0.00740,2023-01-01,9999-12-31,,,,,,
384,红牛/普通型/250ML/24/华新2元回收/2018,10000766,否,0.00740,2023-01-01,9999-12-31,,,,,,
385,红牛/普通型/250ML/24/南区2元回收/2018,10000765,否,0.00740,2023-01-01,9999-12-31,,,,,,
386,红牛/250ML/12/2021开门红专项礼盒,10000896,否,0.00370,2023-01-01,9999-12-31,,,,,,
387,红牛/250ML/12/2021开门红礼盒,10000895,否,0.00370,2023-01-01,9999-12-31,,,,,,
388,红牛/250ML/24/专供型,10000864,否,0.00740,2023-01-01,9999-12-31,,,,,,
389,红牛/250ML/24/26周年纪念装,10000900,否,0.00740,2023-01-01,9999-12-31,,,,,,
390,红牛/250ML/24/25周年纪念装,10000818,否,0.00740,2023-01-01,9999-12-31,,,,,,
391,红牛/普通型/250ml/24/非卖品,10000002,否,0.00740,2023-01-01,9999-12-31,,,,,,
392,红牛/普通型/250ml/24,10000813,否,0.00740,2024-03-19,9999-12-31,,,,,,
