u{FEFF}条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
"8000002774","镀镍回形针","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002773","中号长尾夹","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002772","小号长尾夹","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002771","12#订书机","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002770","有线鼠标","MS116/黑","办公用品","个","戴尔","",,,0,"已启用",0.000,,,"否","否"
"8000002769","荧光笔粉色","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002768","荧光笔紫色","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002767","彩色马克笔 （绿色）","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002766","荧光笔橙色","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002765","荧光笔蓝色","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002764","彩色马克笔 （黄色）","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002763","红色粗头可擦白板笔","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002762","蓝色粗头可擦白板笔","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002761","粗头可擦白板笔（黑色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002760","小双头油性记号笔（红色）","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002759","小双头油性记号笔（蓝色）","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002758","双头油性记号笔（黑色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002757","中性笔替芯","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002756","按压式中性笔","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002755","物资领用登记本","","办公用品","本","","",,,0,"已启用",,,,"否","否"
"8000002754","七格组合笔筒","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002753","床头收纳篮","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002752","五金装订夹","50套/盒","办公用品","盒","","",,,0,"已启用",0.000,,,"否","否"
"8000002751","钥匙牌","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002750","山形票据铁票夹102mm","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002749","白板磁钉","30mm/6粒/卡","办公用品","卡","得力","",,,0,"已启用",0.000,,,"否","否"
"8000002748","磁性白板擦","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002747","笔记本","","办公用品","本","","",,,0,"已启用",,,,"否","否"
"8000002746","抽屉分隔板","","办公用品","包","","",,,0,"已启用",,,,"否","否"
"8000002745","墨粉","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002744","硒鼓","4支装","办公用品","支","天色","",,,0,"已启用",0.000,,,"否","否"
"8000002743","A4复印纸","","办公用品","包","","",,,0,"已启用",,,,"否","否"
"8000002742","三联镂空桌面文件框","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002741","四联镂空桌面文件框","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002740","职务卡7寸/5","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002739","职务卡A5/5","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002738","资料册","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002737","A4裱框","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002736","A3磁性硬胶套","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002735","A4磁性展示贴","","办公用品","个","","",,,0,"已启用",0.000,,,"否","否"
"8000002734","A4书写板夹","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002733","A4透明文件袋","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002732","A4双强力文件夹","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002731","A4透明抽杆文件夹","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002730","档案盒","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002729","A4带孔文件夹","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002728","文件活页收纳册","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"30001165","蜗轮蜗杆合成齿轮油3","OMALAS4WE680/20L/桶","辅料","桶","","",,,0,"已启用",0.000,,,"否","否"
"30001224","蜗轮蜗杆合成齿轮油2","OMALAS4WE320/20L/桶","辅料","桶","","",,,0,"已启用",0.000,,,"否","否"
"30001120","齿轮油","S2/GX320/20L/桶/","辅料","桶","","",,,0,"已启用",0.000,,,"否","否"
"8000002727","刮水器60cm","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002726","彩色垃圾袋","中号 双面2丝 45*50CM","清洁用品","套","利得","",,,0,"已启用",,,,"否","否"
"8000002725","平面板灯","600*600*60w","维修耗材","个","工百利","",,,0,"已启用",,,,"否","否"
"8000002724","非操作人员禁止攀登","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002723","安全通道禁止堆放","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002722","禁止倚靠","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002721","禁止停留","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002720","废弃排放口","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002719","污水排放口","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002718","当心绊倒","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002717","当心台阶","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002716","当心吊物","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002715","当心坠落","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002714","当心静电","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002713","当心脚下","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002712","当心低温","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002711","当心滑跌","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002710","当心落物","30*22","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002709","TSA培养基","250g","实验耗材","瓶","-","",,,0,"已启用",,,,"否","否"
"8000002708","质谱仪内标溶液","货号：5191-4570","实验耗材","瓶","安捷伦","",,,0,"已启用",,,,"否","否"
"8000002707","固相萃取柱（色素）","150mg/6ml","实验耗材","盒","-","",,,0,"已启用",,,,"否","否"
"8000002706","锡标准品","货号5190-8543/有证书/100mg","实验耗材","瓶","安捷伦","",,,0,"已启用",,,,"否","否"
"8000002705","牛磺酸标准品","有证书/100mg","实验耗材","瓶","伟业计量","",,,0,"已启用",,,,"否","否"
"8000002704","PH-RG","LA-8080使用  1L/瓶*2","实验耗材","套","三菱试剂","",,,0,"已启用",,,,"否","否"
"8000002703","PH-4","LA-8080使用  1L/瓶*2","实验耗材","套","三菱试剂","",,,0,"已启用",,,,"否","否"
"8000002702","PH-3","LA-8080使用  1L/瓶*2","实验耗材","套","三菱试剂","",,,0,"已启用",,,,"否","否"
"8000002701","PH-2","LA-8080使用  1L/瓶*2","实验耗材","套","三菱试剂","",,,0,"已启用",,,,"否","否"
"8000002700","PH-1","LA-8080使用  1L/瓶*2","实验耗材","套","三菱试剂","",,,0,"已启用",,,,"否","否"
"8000002699","VB12分装盒子","-","实验耗材","个","-","",,,0,"已启用",,,,"否","否"
"8000002698","M-Endo培养基","1.11277.0500","实验耗材","盒","默克","",,,0,"已启用",,,,"否","否"
"8000002697","MEA培养基","1.05398.0500","实验耗材","盒","默克","",,,0,"已启用",,,,"否","否"
"8000002696","PCA培养基","1.05463.0500","实验耗材","盒","默克","",,,0,"已启用",,,,"否","否"
"8000002695","无火焰高温灭菌器","-","实验耗材","个","-","",,,0,"已启用",,,,"否","否"
"8000002694","变色硅胶","","实验耗材","袋","国药","",,,0,"已启用",,,,"否","否"
"8000002693","称量纸","100*100mm（1包）500张/包","实验耗材","包","海斯迪克","",,,0,"已启用",,,,"否","否"
"8000002692","水系微孔滤膜 0.45um","50PK/包","实验耗材","盒","奥特赛恩斯","",,,0,"已启用",,,,"否","否"
"8000002691","移液管","25mL","实验耗材","根","天玻","",,,0,"已启用",,,,"否","否"
"8000002690","离心管","2mL/500个/盒","实验耗材","包","柯诺德","",,,0,"已启用",,,,"否","否"
"8000002689","移液器枪头","（10ml）250个/包","实验耗材","包","赛多利斯","",,,0,"已启用",,,,"否","否"
"8000002688","移液器枪头","（200uL）100个/包","实验耗材","包","赛多利斯","",,,0,"已启用",,,,"否","否"
"8000002687","一次性无菌注射器","2.5mL/200支/盒","实验耗材","包","平安","",,,0,"已启用",0.000,,,"否","否"
"8000002686","六甲基二硅胺烷","分析纯500ml","实验耗材","瓶","阿拉丁","",,,0,"已启用",,,,"否","否"
"8000002685","三甲基氯硅烷","优级纯500ml","实验耗材","瓶","阿拉丁","",,,0,"已启用",,,,"否","否"
"8000002684","硝酸","优级纯/GR500ml","实验耗材","瓶","国药","",,,0,"已启用",,,,"否","否"
"8000002683","顶盖抠胶针","-","实验耗材","个","-","",,,0,"已启用",,,,"否","否"
"8000002682","甲酸","分析纯500ml","实验耗材","瓶","西陇","",,,0,"已启用",,,,"否","否"
"8000002681","冰乙酸","色谱纯/500ml","实验耗材","瓶","西陇","",,,0,"已启用",,,,"否","否"
"8000002680","PP塑料试剂瓶","广口棕色  125mL-10个/包","实验耗材","包","比克曼生物","",,,0,"已启用",,,,"否","否"
"8000002679","一次性使用取样器（咽拭子）","1支/袋 1000支/包","实验耗材","盒","比克曼生物","",,,0,"已启用",,,,"否","否"
"8000002678","孟加拉红培养基","250g","实验耗材","盒","环凯","",,,0,"已启用",,,,"否","否"
"8000002677","煌绿乳糖胆盐肉汤","250g","实验耗材","瓶","环凯","",,,0,"已启用",,,,"否","否"
"8000002676","75%酒精","2.5L/瓶","实验耗材","瓶","安卫士","",,,0,"已启用",,,,"否","否"
"8000002675","安全围栏","黄黑1.2*3米","维修耗材","组","固乡","",,,0,"已启用",,,,"否","否"
"8000002673","地板消毒液","2L","清洁用品","桶","滴露","",,,0,"已启用",,,,"否","否"
"8000002672","一次性洗脸巾","180抽","清洁用品","包","维达","",,,0,"已启用",,,,"否","否"
"8000002671","魔术拖把","拖把50*配布1","清洁用品","套","佳帮手","",,,0,"已启用",,,,"否","否"
"8000002670","胶棉拖把","38cm拖把+1头 对折式","清洁用品","个","妙洁","",,,0,"已启用",,,,"否","否"
"8000002669","超细纤维洗车毛巾","30*70cm  3条装","清洁用品","包","天气不错","",,,0,"已启用",,,,"否","否"
"8000002668","超细纤维洗车毛巾","40*40cm  5条装","清洁用品","包","天气不错","",,,0,"已启用",,,,"否","否"
"8000002667","海绵擦","密度纳米海绵擦/40片","清洁用品","箱","宜之选","",,,0,"已启用",,,,"否","否"
"8000002666","眼镜布","-","清洁用品","包","益盾","",,,0,"已启用",,,,"否","否"
"8000002665","毛巾","灰绿","清洁用品","条","新亚","",,,0,"已启用",,,,"否","否"
"8000002664","毛巾","深蓝10条装","清洁用品","包","Balwny","",,,0,"已启用",,,,"否","否"
"8000002663","门窗密封条","","清洁用品","包","","",,,0,"已启用",,,,"否","否"
"8000002662","吸吹两用除尘枪","6米弹簧管","清洁用品","套","沃尔范","",,,0,"已启用",,,,"否","否"
"8000002661","水带","8-65-25","清洁用品","条","腾驰","",,,0,"已启用",,,,"否","否"
"8000002660","不锈钢洒水壶","10升","清洁用品","个","芷郁","",,,0,"已启用",,,,"否","否"
"8000002659","旋转拖把","34cm2头","清洁用品","套","索邦","",,,0,"已启用",0.000,,,"否","否"
"8000002658","塑料PVC水管","6分10米/卷","清洁用品","卷","漫德莱","",,,0,"已启用",,,,"否","否"
"8000002657","棉纱手套","12副/包","劳保用品","包","新越昌晖","",,,0,"已启用",,,,"否","否"
"8000002656","一次性头套","1000个/箱","劳保用品","箱","安美尚","",,,0,"已启用",0.000,,,"否","否"
"8000002655","防砸防穿刺雨鞋","43码","劳保用品","双","","",,,0,"已启用",,,,"否","否"
"8000002654","氯毒盒","2个/包","劳保用品","包","3M","",,,0,"已启用",,,,"否","否"
"8000002653","野外毒液真空吸取器","","劳保用品","个","","",,,0,"已启用",,,,"否","否"
"8000002652","43码中筒雨鞋","43码","劳保用品","双","久臻","",,,0,"已启用",,,,"否","否"
"8000002651","冰袖","经典黑","劳保用品","双","Keep","",,,0,"已启用",,,,"否","否"
"8000002650","透气手术室防护实验鞋","43/44（白色）","劳保用品","双","稳斯坦","",,,0,"已启用",,,,"否","否"
"8000002649","透气手术室防护实验鞋","41/42（白色）","劳保用品","双","稳斯坦","",,,0,"已启用",,,,"否","否"
"8000002648","透气手术室防护实验鞋","37/38（白色）","劳保用品","双","稳斯坦","",,,0,"已启用",,,,"否","否"
"8000002647","长袖白大褂","（松紧袖） 白色 175","劳保用品","件","元棉","",,,0,"已启用",,,,"否","否"
"8000002646","医用棉签","50支*6袋","劳保用品","盒","稳健","",,,0,"已启用",0.000,,,"否","否"
"8000002645","投屏器","HDMI","办公用品","个","绿联","",,,0,"已启用",,,,"否","否"
"8000002644","烟雾报警器","","办公用品","套","","",,,0,"已启用",,,,"否","否"
"8000002643","挂壁时钟","37x35cm黑色","办公用品","个","康巴丝","",,,0,"已启用",,,,"否","否"
"8000002642","消防设施严禁堵塞","45*34cm","办公用品","个","BELIK","",,,0,"已启用",,,,"否","否"
"8000002641","安全通道禁止堆放","45*34cm","办公用品","个","BELIK","",,,0,"已启用",,,,"否","否"
"8000002640","双面背胶魔术贴","勾面+毛面各3米","办公用品","卷","","",,,0,"已启用",,,,"否","否"
"8000002639","5S胶带","黄色1CM宽*66米 4卷装","办公用品","件","者也","",,,0,"已启用",,,,"否","否"
"8000002638","5S定位胶带","黄色5CM宽*33米 3卷装","办公用品","件","者也","",,,0,"已启用",,,,"否","否"
"8000002637","5号电池","5号  16粒/组","办公用品","组","南孚","",,,0,"已启用",,,,"否","否"
"8000002636","9V电池","9V  1粒装","办公用品","粒","南孚","",,,0,"已启用",,,,"否","否"
"8000002635","纽扣电池","CR2032 五粒","办公用品","件","松下","",,,0,"已启用",,,,"否","否"
"8000002634","防水插线板","25米","办公用品","个","公牛","",,,0,"已启用",,,,"否","否"
"8000002633","防尘防水卡槽","A5 横款","办公用品","个","XYBP","",,,0,"已启用",,,,"否","否"
"8000002632","A5发票盒","单仓 蓝色","办公用品","个","百利文","",,,0,"已启用",,,,"否","否"
"8000002631","A5发票盒","双仓 蓝色","办公用品","个","百利文","",,,0,"已启用",,,,"否","否"
"8000002630","A4折页板夹","深灰色","办公用品","个","得力","",,,0,"已启用",,,,"否","否"
"8000002629","彩笔","6mm 浅蓝色","办公用品","支","宝克","",,,0,"已启用",,,,"否","否"
"8000002628","彩笔","6mm 黄色","办公用品","支","宝克","",,,0,"已启用",,,,"否","否"
"8000002627","彩笔","6mm 紫色","办公用品","支","宝克","",,,0,"已启用",,,,"否","否"
"8000002626","彩笔","6mm 红色","办公用品","支","宝克","",,,0,"已启用",,,,"否","否"
"8000002625","彩笔","6mm 深绿色","办公用品","支","宝克","",,,0,"已启用",,,,"否","否"
"8000002624","彩笔","6mm 橙色","办公用品","支","宝克","",,,0,"已启用",,,,"否","否"
"8000002623","彩笔","6mm 棕色","办公用品","支","宝克","",,,0,"已启用",,,,"否","否"
"8000002622","活页圈","38mm 50个","办公用品","筒","天章","",,,0,"已启用",,,,"否","否"
"8000002621","3H铅笔","3H/12支 * 5盒装","办公用品","组","得力","",,,0,"已启用",,,,"否","否"
"8000002620","笔记本内存条","DDR4 3200 16G","办公用品","个","金士顿","",,,0,"已启用",,,,"否","否"
"8000002619","亚克力卡槽透明A4","长297mm；宽210mm A4横版","办公用品","个","玛仕福","",,,0,"已启用",,,,"否","否"
"8000002618","亚克力卡槽透明A4","长297mm；宽210mm A4竖版","办公用品","个","玛仕福","",,,0,"已启用",,,,"否","否"
"8000002617","金属文件架","四层金属文件架","办公用品","个","得力","",,,0,"已启用",0.000,,,"否","否"
"8000002616","挂壁时钟","37x35cm黑色","办公用品","个","康巴丝","",,,0,"已启用",,,,"否","否"
"8000002615","9V电池","9V  1粒装","办公用品","粒","南孚","",,,0,"已启用",,,,"否","否"
"8000002614","5号电池","5号  16粒/组","办公用品","组","南孚","",,,0,"已启用",,,,"否","否"
"8000002613","1号电池","1号   2粒/组","办公用品","组","南孚","",,,0,"已启用",,,,"否","否"
"8000002612","挂钩","强力粘钩20支","办公用品","盒","foojo","",,,0,"已启用",,,,"否","否"
"8000002611","5S标识线","1CM宽*66米","办公用品","卷","者也","",,,0,"已启用",,,,"否","否"
"8000002610","标签贴","BQ-392501/红色/39*25mm","办公用品","包","","",,,0,"已启用",,,,"否","否"
"8000002594","加厚储物盒","小号3升","办公用品","个","优必利","",,,0,"已启用",,,,"否","否"
"8000002593","5s定位胶带","5CM","办公用品","卷","者也","",,,0,"已启用",0.000,,,"否","否"
"8000002592","5s定位胶带","2CM","办公用品","卷","者也","",,,0,"已启用",0.000,,,"否","否"
"8000002591","一次性水杯","108只*240ML","办公用品","包","妙洁","",,,0,"已启用",,,,"否","否"
"8000002590","公牛插板（4位/4米）","4位4米","办公用品","个","公牛（BULL）","",,,0,"已启用",,,,"否","否"
"8000002589","彩笔","6mm 深绿色","办公用品","支","宝克","",,,0,"已启用",,,,"否","否"
"8000002588","硒鼓","6000页/支 3支/组","办公用品","组","彩格","",,,0,"已启用",,,,"否","否"
"8000002587","A4彩色复印纸","5色 80g 500张","办公用品","包","金蝶","",,,0,"已启用",,,,"否","否"
"8000002586","冷风机冰盒","350ML(2个/组）","办公用品","个","欧宝森","",,,0,"已启用",,,,"否","否"
"8000002585","强光手筒","24小时超长续航","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002584","遮光罩","120*100*116CM","办公用品","个","","",,,0,"已启用",0.000,,,"否","否"
"8000002583","转印组件","","办公用品","套","富士施乐","",,,0,"已启用",,,,"否","否"
"8000002582","硒鼓组件","R1 R2 R3 R4","办公用品","套","富士施乐","",,,0,"已启用",,,,"否","否"
"8000002581","对讲机电池","V168","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002580","车载时钟","黑色 5.6cm*2.4cm*3cm","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002579","色带（备件打印机）","适用EPSON LQ-730KⅡ打印机","办公用品","个","EPSON","",,,0,"已启用",,,,"否","否"
"8000002578","碳带","宽110mm","办公用品","盒","斑马","",,,0,"已启用",,,,"否","否"
"8000002577","合格标识","14*70mm（深绿色）","办公用品","个","定制","",,,0,"已启用",,,,"否","否"
"8000002576","成品状态标识（待检品）","125*165MM（紫色）","办公用品","个","定制","",,,0,"已启用",,,,"否","否"
"8000002575","原材料状态标识（待检品）—白糖专用","125*135mm（白框）","办公用品","个","定制","",,,0,"已启用",,,,"否","否"
"8000002574","原材料状态标识（待检品）—纸皮专用","125*175mm（白框）","办公用品","个","定制","",,,0,"已启用",,,,"否","否"
"8000002573","三联打印纸","红牛logo+配编号","办公用品","箱","定制","",,,0,"已启用",,,,"否","否"
"30000561","高温油脂","EW 55/400g/支","辅料","支","NLGI","",,,0,"已启用",0.000,,,"否","否"
"30001121","高温链网润滑油","/HT/SF/5L/桶/链网","辅料","桶","INTERFLON","",,,0,"已启用",0.000,,,"否","否"
"30001125","蜗轮蜗杆合成齿轮油","OMALAS4WE220/20L/桶","辅料","桶","壳牌","",,,0,"已启用",0.000,,,"否","否"
"8000002558","防噪耳塞","1副装","劳保用品","副","3M","",,,0,"已启用",,,,"否","否"
"8000002557","7号电池","1粒装","办公用品","粒","南孚","",,,0,"已启用",,,,"否","否"
"8000002556","礼仪手套","1副装","劳保用品","副","","",,,0,"已启用",,,,"否","否"
"8000002555","一次性网帽","20g白色1","劳保用品","个","者也","",,,0,"已启用",,,,"否","否"
"8000002554","一次性口罩","1个装","劳保用品","个","海氏海诺","",,,0,"已启用",,,,"否","否"
"8000002553","棉纱线手500g","双","劳保用品","双","","",,,0,"已启用",,,,"否","否"
"30001049","清洗剂","0030/1L","码垛机","瓶","LINX","",,,0,"已启用",,7,,"否","否"
"8000002552","耐酸碱橡胶工业手套","大号 H55-L HG/T2584-21","劳保用品","副","","",,,0,"已启用",,,,"否","否"
"8000002551","安全帽","红色/有证书","应急防汛","个","","",,,0,"已启用",0.000,,,"否","否"
"8000002550","防撞柱","165mm*750mm","维修耗材","根","","",,,0,"已启用",,,,"否","否"
"8000002549","防撞柱","76mm*600mm","维修耗材","根","","",,,0,"已启用",,,,"否","否"
"8000002548","色谱柱","货号：A3000150X039","维修耗材","个","安捷伦","",,,0,"已启用",,,,"否","否"
"8000002547","色谱柱","货号：880975-902","维修耗材","个","安捷伦","",,,0,"已启用",,,,"否","否"
"8000002546","uv5软管","货号：51190969/国药替代","维修耗材","个","梅特勒","",,,0,"已启用",,,,"否","否"
"8000002545","钨灯（U2900）日立","-","维修耗材","个","日立","",,,0,"已启用",,,,"否","否"
"8000002544","过滤白头","01018-22707","维修耗材","包","安捷伦","",,,0,"已启用",,,,"否","否"
"8000002543","衬管","5183-4711","维修耗材","个","安捷伦","",,,0,"已启用",,,,"否","否"
"8000002542","离子交换袋","（TH-300氢气发生器使用）","维修耗材","个","中惠普","",,,0,"已启用",,,,"否","否"
"8000002541","自喷漆","红色","维修耗材","瓶","","",,,0,"已启用",,,,"否","否"
"8000002540","自喷漆","黄色","维修耗材","瓶","","",,,0,"已启用",,,,"否","否"
"8000002539","滚筒刷","宽10CM","维修耗材","个","","",,,0,"已启用",,,,"否","否"
"8000002538","醇酸调合漆","黄色 小桶","维修耗材","套","","",,,0,"已启用",,,,"否","否"
"8000002537","紫外灯管","ZW30S19W","维修耗材","根","江苏蓝艺","",,,0,"已启用",,,,"否","否"
"8000002536","环保胶O型圈外","40*2.65","维修耗材","个","-","",,,0,"已启用",,,,"否","否"
"8000002535","304不锈钢盲板","φ19-38/卡盘50.5","维修耗材","个","","",,,0,"已启用",,,,"否","否"
"8000002534","食品级垫圈","外径43内径41","维修耗材","个","","",,,0,"已启用",,,,"否","否"
"8000002533","紫外线灯","60W","维修耗材","套","","",,,0,"已启用",,,,"否","否"
"8000002532","紫外线灯","30W","维修耗材","套","","",,,0,"已启用",,,,"否","否"
"8000002531","螺栓防松标记膏","QS-20/红色","维修耗材","个","UPAYPEN","",,,0,"已启用",,,,"否","否"
"8000002530","常开/常闭","","维修耗材","套","","",,,0,"已启用",,,,"否","否"
"8000002529","百洁布","8CM*7.5米/卷","清洁用品","卷","","",,,0,"已启用",,,,"否","否"
"8000002528","可移动清洗拖把工具","Q1SN2140 100*40*34cm","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002527","废布","","清洁用品","KG","","",,,0,"已启用",,,,"否","否"
"8000002526","食品级夹布橡胶管白色","内径19mm","清洁用品","米","鑫亨达","",,,0,"已启用",,,,"否","否"
"8000002525","食品级PVC钢丝软管25mm","内径25mm加厚3.5mm","清洁用品","米","","",,,0,"已启用",,,,"否","否"
"8000002524","食品级PVC钢丝软管20mm","直径20mm/壁厚3.5mm","清洁用品","米","","",,,0,"已启用",,,,"否","否"
"8000002523","环氧地坪清洁剂","2.5KG/桶","清洁用品","桶","","",,,0,"已启用",,,,"否","否"
"8000002522","ab混合胶泥","","清洁用品","组","","",,,0,"已启用",,,,"否","否"
"8000002521","叉车坐垫","44*44cm","劳保用品","套","","",,,0,"已启用",,,,"否","否"
"8000002520","43码卫尔盾劳保鞋","43","劳保用品","双","卫尔盾","",,,0,"已启用",,,,"否","否"
"8000002519","42码卫尔盾劳保鞋","42","劳保用品","双","卫尔盾","",,,0,"已启用",,,,"否","否"
"8000002518","41码卫尔盾劳保鞋","41","劳保用品","双","卫尔盾","",,,0,"已启用",,,,"否","否"
"8000002517","40码卫尔盾劳保鞋","40","劳保用品","双","卫尔盾","",,,0,"已启用",,,,"否","否"
"8000002516","38码卫尔盾劳保鞋","38","劳保用品","双","卫尔盾","",,,0,"已启用",,,,"否","否"
"8000002515","37码卫尔盾劳保鞋","37","劳保用品","双","卫尔盾","",,,0,"已启用",,,,"否","否"
"8000002514","36码卫尔盾劳保鞋","36","劳保用品","双","卫尔盾","",,,0,"已启用",,,,"否","否"
"8000002513","42码低腰雨鞋","42码","劳保用品","双","","",,,0,"已启用",,,,"否","否"
"8000002512","39码卫尔盾劳保鞋","39码","劳保用品","双","卫尔盾","",,,0,"已启用",0.000,,,"否","否"
"8000002511","42码绝缘劳保鞋","42码","劳保用品","双","代尔塔","",,,0,"已启用",,,,"否","否"
"8000002510","41码绝缘劳保鞋","41码","劳保用品","双","代尔塔","",,,0,"已启用",,,,"否","否"
"8000002508","灭菌锅指示剂","B1321/50支/盒","实验耗材","盒","新华","",,,0,"已启用",,7,,"否","否"
"8000002507","一次性培养皿90mm","500个/箱","实验耗材","箱","比克曼","",,,0,"已启用",,7,,"否","否"
"55000402","封箱胶带","60mm*100y*50um","办公用品","卷","得力","",,,0,"已启用",,,,"否","否"
"55000353","双面胶带","15mm*3m*1mm（2卷/盒）","办公用品","盒","得力","",,,0,"已启用",,,,"否","否"
"55000035","透明直尺","20cm","办公用品","把","得力","",,,0,"已启用",,,,"否","否"
"55000070","百事贴","76mm*76mm  黄色  100张","办公用品","本","史泰博","",,,0,"已启用",,,,"否","否"
"55000031","橡胶圈","50g 本色","办公用品","盒","得力","",,,0,"已启用",,,,"否","否"
"55000303","文具胶带","18mm*30y","办公用品","卷","得力","",,,0,"已启用",,,,"否","否"
"55000347","迷你卷笔刀","随机色","办公用品","个","得力","",,,0,"已启用",,,,"否","否"
"55000340","美工刀","18mm 黄色","办公用品","把","得力","",,,0,"已启用",,,,"否","否"
"55000022","办公剪刀","170mm 黑色","办公用品","把","史泰博","",,,0,"已启用",,,,"否","否"
"55000388","固体胶","36g","办公用品","支","得力","",,,0,"已启用",,,,"否","否"
"55000291","透明缠绳档案袋","透明色 12个/包","办公用品","包","得力","",,,0,"已启用",,,,"否","否"
"55000172","透明抽杆文件夹","杆14mm 10只装 A4","办公用品","件","得力","",,,0,"已启用",,,,"否","否"
"55000173","简装长尾夹","51mm 黑色 12个","办公用品","盒","史泰博","",,,0,"已启用",,,,"否","否"
"55000062","长尾票夹","40mm 黑色 12个","办公用品","盒","史泰博","",,,0,"已启用",,,,"否","否"
"55000061","简装长尾夹","32mm 黑色 24个","办公用品","盒","史泰博","",,,0,"已启用",,,,"否","否"
"55000060","简装长尾夹","25mm 黑色 48个","办公用品","盒","史泰博","",,,0,"已启用",,,,"否","否"
"55000059","简装长尾夹","19mm 黑色 40个","办公用品","盒","史泰博","",,,0,"已启用",,,,"否","否"
"55000058","简装长尾夹","15mm 黑色 60个","办公用品","盒","史泰博","",,,0,"已启用",,,,"否","否"
"55000376","按压式中性笔","0.5mm 红色 12支/盒","办公用品","支","得力","",,,0,"已启用",,,,"否","否"
"55000132","白板擦","110*50*22mm","办公用品","个","得力","",,,0,"已启用",,,,"否","否"
"55000377","双头油性记号笔（黑色）","黑色 12支/盒","办公用品","支","得力","",,,0,"已启用",,,,"否","否"
"55000352","强纳米胶带","30mm*2m*20mm","办公用品","卷","得力","",,,0,"已启用",0.000,,,"否","否"
"55000393","不锈钢直尺30cm","30cm","办公用品","把","得力","",,,0,"已启用",,,,"否","否"
"55000133","粗头可擦白板笔（黑色）","黑色 10支/盒","办公用品","盒","得力","",,,0,"已启用",,,,"否","否"
