u{FEFF}物料编码,产品名称,分类,对象,单位,标箱折扣系数,外箱价格,封箱方式,内包装形式,投放区域,箱入数,保质期,保质期预警(天),材质,是否赠品,是否启用,备注,创建时间
"81000093","国产/芙丝蛋白肽气泡水249ml/12罐装/香茅味","国产芙丝蛋白肽","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:16"
"81000120","芙丝蛋白肽/249ML*6*2/香茅","国产芙丝蛋白肽","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:15"
"81000119","芙丝蛋白肽/249ML*6/香茅","国产芙丝蛋白肽","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:15"
"81000092","国产/芙丝蛋白肽气泡水249ml/12罐装/荔枝玫瑰味","国产芙丝蛋白肽","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:14"
"81000118","芙丝蛋白肽/249ML*6*2/荔枝玫瑰","国产芙丝蛋白肽","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:14"
"81000117","芙丝蛋白肽/249ML*6/荔枝玫瑰","国产芙丝蛋白肽","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:13"
"81000108","国产/芙丝气泡水330ML/12瓶装/青提葡萄/含投奖卡","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:13"
"81000107","国产/芙丝气泡水330ML/12瓶装/樱花白桃/含投奖卡","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:12"
"81000106","国产/芙丝气泡水330ML/12瓶装/青柠生姜/含投奖卡","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:12"
"81000193","国产/芙丝气泡水330ML/12瓶装/荔枝香橙","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:11"
"81000105","国产/芙丝气泡水330ML/12瓶装/柠檬黄瓜","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:10"
"81000104","国产/芙丝气泡水330ML/12瓶装/青提葡萄","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:09"
"81000103","国产/芙丝气泡水330ML/12瓶装/樱花白桃","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:09"
"81000102","国产/芙丝气泡水330ML/12瓶装/青柠生姜","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:08"
"81000101","国产/芙丝气泡水330ML/24瓶装/柠檬黄瓜","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:08"
"81000100","国产/芙丝气泡水330ML/24瓶装/青提葡萄","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:07"
"81000099","国产/芙丝气泡水330ML/24瓶装/樱花白桃","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:06"
"81000096","国产/芙丝气泡水330ML/24瓶装/青柠生姜","国产芙丝330ML气泡水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:06"
"81000164","国产/芙丝水330ML/24瓶装/滴滴联标/牛皮纸","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:05"
"81000161","国产/芙丝水330ML/30瓶装/电商纯享","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:05"
"81000160","国产/芙丝水500ML/20瓶装/电商纯享","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:04"
"81000130","国产/芙丝水330ML/24瓶装/万达瑞华联标","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:04"
"81000126","国产/芙丝水500ML/24瓶装/出口澳门","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:03"
"81000125","国产/芙丝水330ML/24瓶装/出口澳门","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:03"
"81000038","国产/芙丝水500ML/24瓶装/出口新加坡","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:02"
"81000039","国产/芙丝水330ML/24瓶装/出口新加坡","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:01"
"81000060","国产/芙丝水4L/4瓶装","国产芙丝4LPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:01"
"81000064","国产/芙丝水330ML/24瓶装/电商/品鉴","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:00"
"81000030","国产/芙丝水500ML/12瓶装/白膜","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:00"
"81000195","国产/芙丝水330ML/24瓶装/WHDH联标","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:58"
"81000194","国产/芙丝水330ML/24瓶装/LUX酒店联名","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:57"
"81000190","国产/芙丝水330ML/24瓶装/特供装","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:57"
"81000003","国产/芙丝水330ML/24瓶装/白膜","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:56"
"81000001","国产/芙丝水330ML/24瓶装","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:55"
"81000192","国产/芙丝水500ML/24瓶装/特供装","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:54"
"81000141","国产/芙丝水500ML/24瓶装/红韵/圣诞装","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:53"
"81000114","国产/芙丝水500ML/24瓶装/长江河湖联标","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:53"
"81000113","国产/芙丝水500ML/24瓶装/便利蜂联标","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:52"
"81000090","国产/芙丝水500ML/24瓶装/红韵","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:50"
"81000002","国产/芙丝水500ML/24瓶装/白膜","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:48"
"81000000","国产/芙丝水500ML/24瓶装","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:48"
"70000124","唯他可可椰子水/原味/310ml/罐装","唯他可可310ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:47"
"70000121","唯他可可椰子水/醇香风味/500ml/PET瓶装","唯他可可500ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:47"
"70000060","唯他可可椰子水/原味/500ml/六瓶装","唯他可可500ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:45"
"70000051","唯他可可椰子水/原味/500ml","唯他可可500ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:44"
"70000050","唯他可可椰子水/蜂蜜味/330ml","唯他可可330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:43"
"70000045","唯他可可椰子水/菠萝味/330ml","唯他可可330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:42"
"70000043","唯他可可椰子水/原味/330ml/航空专用","唯他可可330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:30"
"70000041","唯他可可椰子水/原味/1L/航空专用","唯他可可1L","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:30"
"70000128","唯他可可椰子水/凤梨口味/330ml","唯他可可330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:29"
"70000123","唯他可可椰子水/醇香风味/330ml/利乐瓶装","唯他可可330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:29"
"70000071","唯他可可椰子水/原味/330ml/天猫专供","唯他可可330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:28"
"70000002","唯他可可椰子水/原味/330ml","唯他可可330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:27"
"70000001","唯他可可椰子水/原味/1L","唯他可可1L","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:27"
"60000235","果倍爽/樱桃复合果汁/330ML/文案装","果倍爽330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:26"
"60000234","果倍爽/红葡萄汁/330ML/文案装","果倍爽330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:26"
"60000233","果倍爽/橙汁/330ML/文案装","果倍爽330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:25"
"60000022","果倍爽/樱桃复合果汁/330ML","果倍爽330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:25"
"60000021","果倍爽/红葡萄汁/330ML","果倍爽330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:23"
"60000020","果倍爽/橙汁/330ML","果倍爽330ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:23"
"60000256","果倍爽/猕猴桃复合果汁/六袋装/200ML/果小包盲盒","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:22"
"60000255","果倍爽/黑加仑复合果汁/六袋装/200ML/果小包盲盒","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:20"
"60000254","果倍爽/桃苹果复合果汁/六袋装/200ML/果小包盲盒","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:20"
"60000253","果倍爽/梨汁/六袋装/200ML/果小包盲盒","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:19"
"60000252","果倍爽/白葡萄汁/六袋装/200ML/果小包盲盒","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:19"
"60000251","果倍爽/橙汁/六袋装/200ML/果小包盲盒","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:18"
"60000217","果倍爽/猕猴桃复合果汁/六袋装/200ML/2020年整箱促销","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:16"
"60000216","果倍爽/黑加仑复合果汁/六袋装/200ML/2020年整箱促销","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:16"
"60000215","果倍爽/桃苹果复合果汁/六袋装/200ML/2020年整箱促销","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:15"
"60000214","果倍爽/梨汁/六袋装/200ML/2020年整箱促销","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:15"
"60000213","果倍爽/白葡萄汁/六袋装/200ML/2020年整箱促销","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:14"
"60000211","果倍爽/橙汁/六袋装/200ML/2020年整箱促销","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:14"
"60000171","果倍爽/橙汁/六袋装/200ML/果小包","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:13"
"60000221","果倍爽/橙汁/六袋装/200ML/运动版果小包","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:12"
"60000185","果倍爽/猕猴桃复合果汁/六袋装/200ML/2019开箱有礼","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:12"
"60000184","果倍爽/黑加仑复合果汁/六袋装/200ML/2019开箱有礼","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:11"
"60000183","果倍爽/桃苹果复合果汁/六袋装/200ML/2019开箱有礼","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:11"
"60000182","果倍爽/梨汁/六袋装/200ML/2019开箱有礼","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:10"
"60000181","果倍爽/白葡萄汁/六袋装/200ML/2019开箱有礼","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:09"
"60000180","果倍爽/橙汁/六袋装/200ML/2019开箱有礼","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:08"
"60000091","果倍爽/猕猴桃复合果汁/200ML","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:08"
"60000090","果倍爽/黑加仑复合果汁/200ML","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:07"
"60000003","果倍爽/桃苹果复合果汁/200ML","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:06"
"60000002","果倍爽/梨汁/200ML","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:05"
"60000001","果倍爽/白葡萄汁/200ML","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:04"
"60000000","果倍爽/橙汁/200ML","果倍爽200ML","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:03"
"11000182","战马/180ML/24/罐装/含气/柠檬味","罐装战马180ML","罐装战马180ML","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:02"
"11000181","战马/180ML/24/罐装/含气/西柚味","罐装战马180ML","罐装战马180ML","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:01"
"11000180","战马/180ML/24/罐装/含气/白桃味","罐装战马180ML","罐装战马180ML","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:01"
"11000179","战马/180ML/24/罐装/含气/无糖","罐装战马180ML","罐装战马180ML","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:00"
"11000164","战马/180ML/6/罐装/玉米低聚肽","罐装战马180ML","罐装战马180ML","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:24:00"
"11000163","战马/180ML/6/罐装/大豆肽","罐装战马180ML","罐装战马180ML","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:59"
"11000162","战马/180ML/6/罐装/浓郁型","罐装战马180ML","罐装战马180ML","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:59"
"11000161","战马/180ML/6/罐装/柠檬味","罐装战马180ML","罐装战马180ML","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:58"
"11000160","战马/180ML/6/罐装/西柚味","罐装战马180ML","罐装战马180ML","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:58"
"11000159","战马/180ML/6/罐装/白桃味","罐装战马180ML","罐装战马180ML","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:53"
"11000221","战马/310ML/24/罐装/广东云南促销-篮球","罐装战马","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:52"
"11000214","战马/310ML/24/罐装/2023/穿越火线联名版","罐装战马","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:52"
"11000208","战马/310ML/24/罐装/常规-LPL女版","罐装战马","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:51"
"11000207","战马/310ML/24/罐装/广深东扫码-LPL女版","罐装战马","战马罐装2023促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:49"
"11000206","战马/310ML/24/罐装/1元乐享2023-LPL女版","罐装战马","战马罐装2023促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:48"
"11000205","战马/310ML/24/罐装/常规-LPL男版","罐装战马","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:48"
"11000204","战马/310ML/24/罐装/广深东扫码-LPL男版","罐装战马","战马罐装2023促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:47"
"11000203","战马/310ML/24/罐装/1元乐享2023-LPL男版","罐装战马","战马罐装2023促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:47"
"11000202","战马/310ML/24/罐装/常规-篮球","罐装战马","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:46"
"11000201","战马/310ML/24/罐装/广深东扫码-篮球","罐装战马","战马罐装2023促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:46"
"11000200","战马/310ML/24/罐装/1元乐享2023-篮球","罐装战马","战马罐装2023促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:45"
"11000176","战马/310ML/24/罐装/2022/1元即享-LPL男版","罐装战马","战马罐装2022促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:41"
"11000156","战马/310ML/24/罐装/2021/和平精英/扫码红包","罐装战马","战马罐装2021促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:36"
"11000155","战马/310ML/24/罐装/2021/和平精英/礼上有礼","罐装战马","战马罐装2021促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:35"
"11000153","战马/310ML/24/罐装/2021/扫码红包","罐装战马","战马罐装2021促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:35"
"11000152","战马/310ML/24/罐装/2021/礼上有礼","罐装战马","战马罐装2021促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:34"
"11000140","战马/310ML/24/罐装/2020/箱内码","罐装战马","罐装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:31"
"11000131","战马/310ML/24/罐装/2020/扫码红包","罐装战马","罐装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:29"
"11000130","战马/310ML/24/罐装/2020/1元轻松享","罐装战马","罐装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:28"
"11000143","战马/310ML/24/罐装/出口美国","罐装战马","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:24"
"11000218","战马/500ML/24/含气","瓶装战马含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:23"
"11000217","战马/500ML/24/原味","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:22"
"11000213","战马/400ML/15/不含气/常规-LPL女版","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:22"
"11000212","战马/400ML/15/不含气/常规-LPL男版","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:21"
"11000211","战马/400ML/15/不含气/2023/1元乐享-LPL女版","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:21"
"11000210","战马/400ML/15/不含气/2023/1元乐享-LPL男版","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:20"
"11000151","战马/400ML/15/不含气/2021/扫码红包","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:18"
"11000150","战马/400ML/15/不含气/2021/礼上有礼","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:17"
"11000100","战马/400ML/15/不含气/2020/1元畅享","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:17"
"11000046","战马/400ML/15/不含气/赠饮","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:08"
"11000047","战马/400ML/15/含气/赠饮","瓶装战马含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:07"
"11000040","战马/400ML/15/含气/战马要疯","瓶装战马含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:06"
"11000114","战马/400ML/15/含气/2020/扫码红包","瓶装战马含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:04"
"11000115","战马/400ML/15/不含气/2020/扫码红包","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:03"
"11000002","战马/400ML/15/含气","瓶装战马含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:03"
"11000001","战马/400ML/15/不含气","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:01"
"","红牛胶带","","","CAR",0.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:00"
"10001044","红牛维生素功能饮料/普通型/250ML/24/29周年/广东箱内码一期/2024","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:23:00"
"10001043","红牛维生素功能饮料/普通型/250ML/24/29周年/两元纸箱/台州专供一期","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:59"
"10001035","红牛维生素功能饮料/牛磺酸强化型/250ml/24/29周年纪念装","红牛强化型","强化型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:58"
"10001034","红牛维生素功能饮料/普通型/250ML/六罐装/29周年","红牛六联包","六联包","包",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:58"
"10001033","红牛维生素功能饮料/普通型/250ML/24/29周年纪念装","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:57"
"10001029","红牛/250ML/24/28周年纪念装/广东促销二期/2023","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:57"
"10001028","红牛/250ML/24/28周年纪念装/两元促销/台州专供三期","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:55"
"10001025","红牛/普通型/250ML/24/2023普通装箱内码二期","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:55"
"10001024","红牛/250ML/24/28周年纪念装/两元促销/台州专供二期","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:54"
"10001017","红牛/250ML/24/28周年普通型-含箱内码/2023","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:54"
"10001020","红牛/普通型/250ML/24/广东促销/2023","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:53"
"10001016","红牛/普通型/250ML/24/扫码促销-含箱内码/2023","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:53"
"10001015","红牛/250ML/扫码促销/六罐装/2023","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:51"
"10001019","红牛/普通型/250ML/24/1元换购-藏区/2023","红牛促销型","西北1元促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:51"
"10001018","红牛/普通型/250ML/24/1元换购/2023","红牛促销型","西北1元促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:50"
"10001014","红牛/普通型/250ML/24/扫码促销/2023","红牛促销型","扫码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:50"
"10001013","红牛/250ML/24/扫码促销/两元促销/台州专供","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:49"
"10001003","红牛/强化型/250ml/蓝色/24/28周年","红牛强化型","强化型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:49"
"10001001","红牛/普通型/250ML/六罐装/28周年","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:48"
"10001000","红牛/250ML/24/28周年纪念装","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:48"
"10000998","红牛/250ML/24/28周年纪念装/两元促销/台州专供","红牛促销型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:47"
"10000997","红牛/250ML/24/27周年版/两元促销/台州专供","红牛促销型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:46"
"10001031","红牛维生素功能饮料/普通型/250ML/12/2024开门红加大礼盒","十二罐礼盒","12罐礼盒","CAR",0.500,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:46"
"10001030","红牛维生素功能饮料/普通型/250ML/12/2024开门红礼盒","十二罐礼盒","12罐礼盒","CAR",0.500,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:45"
"10000994","红牛/250ML/12/2023开门红加大礼盒","十二罐礼盒","12罐礼盒","CAR",0.500,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:45"
"10000993","红牛/250ML/12/2023开门红礼盒","十二罐礼盒","12罐礼盒","CAR",0.500,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:22:44"
