序号,供应商大类,供应商编码,供应商名称,供应商简称,城市,街道,联系人,联系电话,邮件地址,供应商类型,账户组,供应商等级,资质是否临期,状态,创建时间
177,服务商,13000158,广东迪美生物技术有限公司,迪美生物,,萝岗区科学城神舟路788号A-2第二层,,,,外检,A003,,是,启用,2025-09-09 13:39:07
178,备件,13000157,武汉森海机电工程有限公司,森海机电,,洪山区珞南街珞瑜路446号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
179,备件,13000156,武汉江亚机械有限公司,武汉江亚,,洪山区雄楚大街杨家湾549号2-1-1,刘亮,027-87897756,,备件,A003,B,是,启用,2025-09-09 13:39:07
180,服务商,13000155,武汉科盛工业器材有限公司,科盛器材,,武汉市硚口区古田二路3-1-1,,,,维修服务,A003,,是,启用,2025-09-09 13:39:07
181,备件,13000147,镇田科能机械（北京）有限公司,镇田科能,,西城区广安门内大街116号1号楼2112室,黄萧滨,010-87666985,,备件,A003,B,是,启用,2025-09-09 13:39:07
182,服务商,13000125,武汉森美石化制品有限公司,森美石化,,武汉 硚口区营房后街 93号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
183,服务商,13000122,湖北晨曦机电设备有限责任公司,晨曦机电,,,,,,维修服务,A003,,是,启用,2025-09-09 13:39:07
184,备件,13000121,武汉飞鸿达机电设备有限公司,飞鸿达,,汉阳区翠微新城6幢248单元902,张军,027-84700701,,备件,A003,B,是,启用,2025-09-09 13:39:07
185,服务商,13000120,武汉特美科自动化电器设备有限责任公司,特美科,,武汉 解放大道21号汉正街都市工业,,,,维修服务,A003,,是,启用,2025-09-09 13:39:07
186,备件,13000115,基伊埃板式热交换设备(上海)有限公司,基伊埃板式,,上海市闵行区华漕镇,,,,工程,A003,,是,启用,2025-09-09 13:39:07
187,备件,13000101,咸宁市创鑫源电业有限责任公司,创鑫源电业,,温泉淦河大道19号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
188,备件,13000100,北京爱普特科技发展有限公司,爱普特,,北京市海淀区安宁庄东路23号银燕大厦A区307,,,,工程,A003,,是,启用,2025-09-09 13:39:07
189,服务商,13000098,咸宁市龙城安防工程有限责任公司,龙城安防,,咸宁体育路B-9号三楼,,,,工程,A003,,是,启用,2025-09-09 13:39:07
190,服务商,13000097,深圳市德丰测控科技有限公司,德丰科技,,深圳市罗湖区宝安南路,,,,工程,A003,,是,启用,2025-09-09 13:39:07
191,备件,13000096,上海鼎兆贸易有限公司,鼎兆贸易,,延安西路1590号,上官莉莉,021-62806591,,备件,A003,B,是,启用,2025-09-09 13:39:07
192,服务商,13000095,广州市番禺中南科达机械有限公司武汉分公司,科达机械,,武汉市江汉区江旺路6号,,,,维修服务,A003,,是,启用,2025-09-09 13:39:07
193,备件,13000087,上海罗丹环保工程有限公司,罗丹环保,,上海堡镇经济开发区,,,,工程,A003,,是,启用,2025-09-09 13:39:07
194,备件,13000086,武汉恒源控制系统工程有限公司,武汉恒源,,武汉#武昌区中北路#148号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
195,备件,13000085,上虞市鑫诚环保设备有限公司,鑫诚环保,,百官街道工业区,,,,工程,A003,,是,启用,2025-09-09 13:39:07
196,备件,13000082,武汉市拓朴工贸有限公司,拓朴工贸,,江汉区金家墩特1号武汉天街1号办公楼18层（11）办号房,罗子超,027-85496689,,备件,A003,B,是,启用,2025-09-09 13:39:07
197,备件,13000081,厦门德莱科仪实业有限公司,德莱科仪,,思明区湖滨北路种子大厦七楼,张海莲,0592-5073862,,备件,A003,A,是,启用,2025-09-09 13:39:07
198,服务商,13000080,武汉市江汉区怡和电子器材经营部,怡和电子,,前进四路80号#电子电器交易市场2楼233,,,,维修服务,A003,,是,启用,2025-09-09 13:39:07
199,备件,13000075,上海德泵机电设备有限公司,德泵机电,,上海南汇区沪南路9828号308室,,,,工程,A003,,是,启用,2025-09-09 13:39:07
200,备件,13000073,克朗斯(太仓)贸易有限公司,克朗斯太仓,,太仓市宁波东路9号,陈小杰,0512-53739300,,工程,A003,A,是,启用,2025-09-09 13:39:07
201,备件,13000071,上海迅宜机电设备有限公司,迅宜机电,,莘松路958弄大浪湾道16号1004室,,,,工程,A003,,是,启用,2025-09-09 13:39:07
202,备件,13000063,诺信（中国）有限公司,诺信,,浦东区张江高科技园区郭守敬路137号,祝大勇,021-38669071,,备件,A003,B,是,启用,2025-09-09 13:39:07
203,综合物资,13000062,杭州文华净水技术有限公司,文华净水,,西湖区古墩路387号金桂大厦,何官美,0571-87389201,,"辅料,备件",A002,B,否,启用,2025-09-09 13:39:07
204,服务商,13000061,湖北公众信息产业有限责任公司咸宁分,公众信息,,咸宁市温泉银泉大道 518号,,,,外检,A003,,是,启用,2025-09-09 13:39:07
205,备件,13000057,克朗斯机械（太仓）有限公司,克朗斯,,太仓经济技术开发区宁波东路9号,陈小杰,0512-53739300,,备件,A003,A,是,启用,2025-09-09 13:39:07
206,备件,13000036,武汉力夫特工业设备有限公司,力夫特,,武汉经济技术开发区26MD地块仓库一层（沌阳大道173号）,申华玲,027-84890076,,"备件,维修服务,外检",A003,B,是,启用,2025-09-09 13:39:07
207,备件,13000035,上海巴田机电设备有限公司,巴田,,上海市国权北路220弄22号101室,,,,工程,A003,,是,启用,2025-09-09 13:39:07
208,备件,13000031,基恩士国际贸易{上海}有限公司,8001,,1号1206室 上海市外高桥保税区基隆路,,,,工程,A003,,是,启用,2025-09-09 13:39:07
209,备件,13000018,北京友联包装机械有限公司,北京友联,,丰台区丰管路5号盛鑫嘉园1号楼301室,严家玉,010-83662009,,备件,A003,B,是,启用,2025-09-09 13:39:07
210,备件,13000017,北京乐德康向扬空压机有限公司,8001,,北京市朝阳区亚运村慧忠北里311号B121,,,,维修服务,A003,,是,启用,2025-09-09 13:39:07
211,备件,13000009,机科发展科技股份有限公司,8001,,北京市海淀区首体南路2号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
212,备件,13000008,衡水华利工矿机械配件厂,8001,,德石路王瞳镇,,,,工程,A003,,是,启用,2025-09-09 13:39:07
213,原材料,11000230,杭州安赛生物科技有限公司,杭州安赛,,萧山区经济开发区桥南区块春潮路18号,刘雯,15699956126,,香精,A001,,否,启用,2025-09-08 13:34:51
214,原材料,11000316,北京香山香精香料有限公司,北京香山,,通州区宋庄镇都市工业区望都二街8号,刘雯,15699956126,,香精,A001,,否,启用,2025-09-08 13:34:35
215,原材料,11000230,上海宝开,上海宝开,,松江区申港路3255号9幢,刘雯,15699956126,,香精,A001,,是,启用,2025-09-08 13:34:17
216,原材料,11000140,艾地盟香精（平湖）有限公司,北京艾地盟,,嘉兴市平湖市经济技术开发区新明路1899号,刘雯,15699956126,,香精,A001,,否,启用,2025-09-08 13:34:04
217,原材料,11000046,山东博瑞特包装科技有限公司,博瑞特,,烟台市龙口市东江街道宇安路1号,吴存根,69558,,顶盖/底盖,A001,,是,启用,2025-08-08 11:58:55
218,原材料,12000100,广东欣涛新材料科技股份有限公司,广东欣涛,,三水工业区大塘园68-6号,梁涛,0757-87263909,,"包材,热熔胶",A001,B,否,启用,2025-08-08 09:27:13
219,原材料,15000324,佛山市三水华彩包装材料有限公司,三水华彩,,三水工业区西南园C区26-9号,刘卫红,13318201215,,"热缩膜,胶带",A001,A,是,启用,2025-07-29 10:24:49
220,原材料,11000379,北京瑞华通达供应链管理有限公司,瑞华通达,,平谷区中关村科技园区平谷园物流基地5号,刘雯,15699956126,,香精,A001,,是,启用,2025-07-29 10:24:49
221,原材料,11000378,北京陆远国际供应链管理有限公司,陆远国际,,平谷区中关村科技园区平谷园物流基地联检大楼6层6号-072,刘雯,15699956126,,香精,A001,,是,启用,2025-07-29 10:24:49
222,原材料,11000367,河南华洋纸塑包装有限公司,河南华洋,,新乡经济技术开发区纬北路039号,薛雷,15560275990,,"纸皮,热缩膜",A001,,是,启用,2025-07-29 10:24:49
223,原材料,11000362,华彬力美科技（湖北）有限公司,华彬力美,,咸宁市贺胜路88号,刘鑫,15872804015,,香精,A001,,是,启用,2025-07-29 10:24:49
224,原材料,11000339,北京和玖包装科技有限公司,北京和玖,,海淀区民族学院南路9号5号楼5层501,曹阳,13608880019,,纸皮,A001,,是,启用,2025-07-29 10:24:49
225,原材料,11000338,宁波市诚屹包装材料有限公司,宁波诚屹,,余姚市谭家岭西路99号,张子文,15617191676,,热缩膜,A001,,是,启用,2025-07-29 10:24:49
226,原材料,11000291,广西崇左东亚糖业有限公司,广西崇左东亚,,工业大道35号,孙芹,18607710428,,"精制糖,一级白砂糖,内容物",A001,,是,启用,2025-07-29 10:24:49
227,原材料,11000270,广西东亚扶南精糖有限公司,广西东亚扶南,,扶绥县新宁镇临江路, 孙芹,18607710428,,"精制糖,一级白砂糖",A001,,是,启用,2025-07-29 10:24:49
228,原材料,11000245,咸宁市振源塑料有限公司,振源塑料,,咸安区向阳湖镇广东畈村1栋,谢湾,18671591862,,"包材,胶带",A001,,是,启用,2025-07-29 10:24:49
229,原材料,11000026,石药创新制药股份有限公司,石药集团,,石家庄市栾城区张举路62号,赵莉莉,18020136711,,内容物,A001,,是,启用,2025-07-29 10:24:49
230,原材料,11000163,漳州市白玉兰精糖有限公司,漳州白玉兰,,兴港东路20号,朱素珠,13599519061,,"精制糖,一级白砂糖",A001,,是,启用,2025-07-29 10:24:49
231,原材料,11000046,湖北奥瑞金制罐有限公司,湖北奥瑞金,,咸宁市贺胜路88号,吴存根,69558,,"彩印铁,顶盖/底盖,空罐",A001,,是,启用,2025-07-29 10:24:49
232,原材料,11000091,新乡市博太彩印实业有限公司,新乡博太,,牧野区中原路256号附1号,赵雪,13911792210,,纸皮,A001,,是,启用,2025-07-29 10:24:49
233,原材料,11000010,广州龙沙制药有限公司,广州龙沙,,南沙区黄阁大道北68号, 赵莉莉,18020136711,,内容物,A001,,是,启用,2025-07-29 10:24:49
234,原材料,11000025,广东凯林科技股份有限公司,广东凯林,,南海区和顺镇和桂工业园一期和桂中路2号,周振林,0757-85117211,,"包材,热熔胶",A001,B,否,启用,2025-07-29 10:24:49
235,原材料,11000010,南京诺朗科技有限公司,南京诺朗,,北京东路22号,赵莉莉,18020136711,,内容物,A001,A,是,启用,2025-07-29 10:24:49
236,原材料,11000000,奥瑞金科技股份有限公司,奥瑞金科技,,,,,,,A001,A,是,启用,2025-07-29 10:24:49
