序号,物料编码,商品名称,启/禁状态,单位重量(吨/箱),物料单位,单位货值(元/箱),纸箱价格(元/张),外包装箱价格,是否促销物料,是否箱内码促销,是否消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止,创建时间
100,10001105,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码/2025,启用,0.00740,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:08
101,10001132,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2025,启用,0.00740,CAR,,,0.00,否,否,否,否,广西1元促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:08
102,10001134,红牛维生素功能饮料/普通型/250ML/24/广东促销/2025,启用,0.00740,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:07
103,10001129,红牛维生素功能饮料/普通型/250ML/24/广东扫码中红包/2025,启用,0.00740,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:07
104,10001081,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码二期/2024,启用,0.00740,CAR,112.80,2.15,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:06
105,10001060,红牛维生素功能饮料/普通型/250ML/24/1元换购-新疆青海/2024,启用,0.00740,CAR,,,0.00,否,否,否,否,西北1元促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:05
106,10001054,红牛维生素功能饮料/普通型/250ML/24/扫码促销-台州2元回收/2024,启用,0.00740,CAR,,,0.00,否,否,否,否,扫码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:05
107,10000000,红牛维生素功能饮料/普通型/250ml/24,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:04
108,10000134,红牛维生素功能饮料/普通型/250ml/24,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:03
109,10001059,红牛维生素功能饮料/普通型/250ML/24/扫码促销-含箱内码/2024,启用,0.00740,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:02
110,10001058,红牛维生素功能饮料/普通型/250ML/扫码促销/六罐装/2024,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:02
111,10001057,红牛维生素功能饮料/普通型/250ML/24/扫码促销/2024,启用,0.00740,CAR,,,0.00,否,否,否,否,扫码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:00
112,11000234,战马/400ML/15/不含气/2024/1元乐享LPL版,启用,0.00730,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:00
113,10001056,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码/2024,启用,0.00740,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:59
114,11000231,战马/310ML/24/罐装/2024无箱内码/1元乐享-篮球,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2024促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:59
115,11000230,战马/310ML/24/罐装/2024箱内码/1元乐享-篮球,启用,0.00840,CAR,,,0.00,否,否,否,否,战马罐装2024促销,,否,否,,,,,否,,,,1.000,罐装战马,罐装战马,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:58
116,10001053,红牛维生素功能饮料/普通型/250ML/24/广东促销/2024,启用,0.00740,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:58
117,好智粒1*15,好智粒1*15,启用,0.00485,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,0.000,,,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:54
118,好智粒1*24,好智粒1*24,启用,0.00650,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,0.000,,,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:53
119,好智粒1*12,好智粒1*12,启用,0.00380,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,0.000,,,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:53
120,80000131,进口芙丝天然泉水/24/500ml/Still-蓝瓶,启用,0.01350,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Still,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:52
121,80000114,进口芙丝天然泉水/12/850ml/Still,启用,0.01140,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Still,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:51
122,80000106,进口芙丝苏打水/12/375ml/Sparkling-黄瓜柠檬味,启用,0.00843,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Sparkling,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:51
123,80000103,进口气泡果味水/8罐/355ml/柠檬黄瓜味,启用,0.00310,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝气泡果味水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:50
124,80000102,进口气泡果味水/8罐/355ml/草莓生姜味,启用,0.00310,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝气泡果味水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:50
125,80000071,进口芙丝苏打水/12/375ml/Sparkling-青柠薄荷味,启用,0.00835,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Sparkling,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:48
126,80000070,进口芙丝苏打水/12/375ml/Sparkling-柑橘柠檬草味,启用,0.00843,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Sparkling,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:48
127,80000015,进口芙丝天然泉水/24/500ml/Still,启用,0.01350,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Still,6,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:47
128,80000014,进口芙丝天然泉水/24/330ml/Still,启用,0.00940,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Still,6,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:46
129,80000013,进口芙丝天然泉水/12/800ml/Still,启用,0.01661,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Still,6,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:46
130,80000012,进口芙丝天然泉水/24/375ml/Still,启用,0.01663,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Still,6,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:46
131,80000011,进口芙丝苏打水/12/800ml/Sparkling,启用,0.01661,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Sparkling,6,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:45
132,80000010,进口芙丝苏打水/24/375ml/Sparkling,启用,0.01675,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,进口芙丝,进口芙丝Sparkling,6,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:44
133,81000177,国产/风味饮料/500ML/15瓶/夏黑葡萄味,启用,0.00865,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500ML风味,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:43
134,81000175,国产/风味饮料/500ML/15瓶/黄柠檬青柠,启用,0.00865,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500ML风味,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:43
135,81000172,国产/风味饮料/500ML/15瓶/樱花白桃味,启用,0.00865,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500ML风味,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:42
136,81000204,国产/芙丝水500ML/24瓶装/静安璞隽联标,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:38
137,81000200,国产/芙丝水500ML/24瓶装/沙漠钻石联标,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:37
138,81000199,国产/芙丝水330ML/24瓶装/白膜/割箱-厦航专供,启用,0.00960,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:36
139,81000162,国产/芙丝水375ML/20瓶/玻璃瓶/黑珍珠联名,启用,0.01380,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝375ML玻璃瓶,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:36
140,81000152,国产/芙丝水375ML/20瓶装/玻璃瓶,启用,0.01380,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝375ML玻璃瓶,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:35
141,81000144,国产/芙丝水375ML/12瓶装/柑橘柠檬草,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝375MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:35
142,81000122,国产/芙丝水375ML/12瓶装/玻璃瓶,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝375ML玻璃瓶,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:29
143,81000121,国产/芙丝水375ML/24瓶装/玻璃瓶,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝375ML玻璃瓶,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:29
144,81000093,国产/芙丝蛋白肽气泡水249ml/12罐装/香茅味,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝蛋白肽,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:28
145,81000120,芙丝蛋白肽/249ML*6*2/香茅,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝蛋白肽,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:27
146,81000119,芙丝蛋白肽/249ML*6/香茅,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝蛋白肽,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:27
147,81000092,国产/芙丝蛋白肽气泡水249ml/12罐装/荔枝玫瑰味,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝蛋白肽,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:26
148,81000118,芙丝蛋白肽/249ML*6*2/荔枝玫瑰,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝蛋白肽,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:25
149,81000117,芙丝蛋白肽/249ML*6/荔枝玫瑰,启用,,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝蛋白肽,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:25
150,81000108,国产/芙丝气泡水330ML/12瓶装/青提葡萄/含投奖卡,启用,0.00430,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:25
151,81000107,国产/芙丝气泡水330ML/12瓶装/樱花白桃/含投奖卡,启用,0.00430,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:24
152,81000106,国产/芙丝气泡水330ML/12瓶装/青柠生姜/含投奖卡,启用,0.00430,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:24
153,81000193,国产/芙丝气泡水330ML/12瓶装/荔枝香橙,启用,0.00430,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:23
154,81000105,国产/芙丝气泡水330ML/12瓶装/柠檬黄瓜,启用,0.00430,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:22
155,81000104,国产/芙丝气泡水330ML/12瓶装/青提葡萄,启用,0.00430,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:21
156,81000103,国产/芙丝气泡水330ML/12瓶装/樱花白桃,启用,0.00430,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:21
157,81000102,国产/芙丝气泡水330ML/12瓶装/青柠生姜,启用,0.00430,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:20
158,81000101,国产/芙丝气泡水330ML/24瓶装/柠檬黄瓜,启用,0.00860,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:20
159,81000100,国产/芙丝气泡水330ML/24瓶装/青提葡萄,启用,0.00860,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:19
160,81000099,国产/芙丝气泡水330ML/24瓶装/樱花白桃,启用,0.00860,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:18
161,81000096,国产/芙丝气泡水330ML/24瓶装/青柠生姜,启用,0.00860,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:18
162,81000164,国产/芙丝水330ML/24瓶装/滴滴联标/牛皮纸,启用,0.00928,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:17
163,81000161,国产/芙丝水330ML/30瓶装/电商纯享,启用,0.01175,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:17
164,81000160,国产/芙丝水500ML/20瓶装/电商纯享,启用,0.01145,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:16
165,81000130,国产/芙丝水330ML/24瓶装/万达瑞华联标,启用,0.00960,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:16
166,81000126,国产/芙丝水500ML/24瓶装/出口澳门,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:15
167,81000125,国产/芙丝水330ML/24瓶装/出口澳门,启用,0.00960,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:15
168,81000038,国产/芙丝水500ML/24瓶装/出口新加坡,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:14
169,81000039,国产/芙丝水330ML/24瓶装/出口新加坡,启用,0.00960,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:13
170,81000060,国产/芙丝水4L/4瓶装,启用,0.01770,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝4LPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:13
171,81000064,国产/芙丝水330ML/24瓶装/电商/品鉴,启用,0.00920,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:12
172,81000030,国产/芙丝水500ML/12瓶装/白膜,启用,0.00705,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:11
173,81000195,国产/芙丝水330ML/24瓶装/WHDH联标,启用,0.00960,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:10
174,81000194,国产/芙丝水330ML/24瓶装/LUX酒店联名,启用,0.00960,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:09
175,81000190,国产/芙丝水330ML/24瓶装/特供装,启用,0.00960,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:09
176,81000003,国产/芙丝水330ML/24瓶装/白膜,启用,0.00960,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:08
177,81000001,国产/芙丝水330ML/24瓶装,启用,0.00960,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:07
178,81000192,国产/芙丝水500ML/24瓶装/特供装,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:06
179,81000141,国产/芙丝水500ML/24瓶装/红韵/圣诞装,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:05
180,81000114,国产/芙丝水500ML/24瓶装/长江河湖联标,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:05
181,81000113,国产/芙丝水500ML/24瓶装/便利蜂联标,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:04
182,81000090,国产/芙丝水500ML/24瓶装/红韵,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:02
183,81000002,国产/芙丝水500ML/24瓶装/白膜,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:00
184,81000000,国产/芙丝水500ML/24瓶装,启用,0.01390,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝500MLPET,,,,,,2025-01-01,9999-12-31,2026-05-15 10:24:00
185,70000124,唯他可可椰子水/原味/310ml/罐装,启用,0.00825,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可310ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:59
186,70000121,唯他可可椰子水/醇香风味/500ml/PET瓶装,启用,0.00668,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可500ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:59
187,70000060,唯他可可椰子水/原味/500ml/六瓶装,启用,0.00340,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可500ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:57
188,70000051,唯他可可椰子水/原味/500ml,启用,0.00667,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可500ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:56
189,70000050,唯他可可椰子水/蜂蜜味/330ml,启用,0.00450,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:55
190,70000045,唯他可可椰子水/菠萝味/330ml,启用,0.00450,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:54
191,70000043,唯他可可椰子水/原味/330ml/航空专用,启用,0.00450,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:42
192,70000041,唯他可可椰子水/原味/1L/航空专用,启用,0.01320,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可1L,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:42
193,70000128,唯他可可椰子水/凤梨口味/330ml,启用,0.00450,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:41
194,70000123,唯他可可椰子水/醇香风味/330ml/利乐瓶装,启用,0.00450,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:41
195,70000071,唯他可可椰子水/原味/330ml/天猫专供,启用,0.00450,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:40
196,70000002,唯他可可椰子水/原味/330ml,启用,0.00450,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:39
197,70000001,唯他可可椰子水/原味/1L,启用,0.01320,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,唯他可可,唯他可可1L,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:39
198,60000235,果倍爽/樱桃复合果汁/330ML/文案装,启用,0.00554,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:38
199,60000234,果倍爽/红葡萄汁/330ML/文案装,启用,0.00554,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:37
200,60000233,果倍爽/橙汁/330ML/文案装,启用,0.00554,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:37
201,60000022,果倍爽/樱桃复合果汁/330ML,启用,0.00554,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:36
202,60000021,果倍爽/红葡萄汁/330ML,启用,0.00554,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:35
203,60000020,果倍爽/橙汁/330ML,启用,0.00554,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽330ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:35
204,60000256,果倍爽/猕猴桃复合果汁/六袋装/200ML/果小包盲盒,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:34
205,60000255,果倍爽/黑加仑复合果汁/六袋装/200ML/果小包盲盒,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:32
206,60000254,果倍爽/桃苹果复合果汁/六袋装/200ML/果小包盲盒,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:32
207,60000253,果倍爽/梨汁/六袋装/200ML/果小包盲盒,启用,0.00420,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,果倍爽,果倍爽200ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:23:31
