序号,操作,物料编码,商品名称,审批状态,启/禁状态,"单位重量
吨/箱(组、包)",物料单位,"单位货值
元/箱(组、包)","纸箱价格
元/张",外包装箱价格,是否为促销物料,是否为箱内码促销,是否为消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止
55,编辑 删除,622,10001188,红牛维生素功能饮料/普通型/250ML/24/31周年纪念装,0.00740,1.000,红牛,0,红牛普通型,红牛普通型,0,1,3,,,,0,0,CAR,1,112.80,2.15,0.00,0,0,0,0,0,0,0,0,,0,0,,,0,0,,0,,,,,0,2025-01-01,9999-12-31,,,,1,75,1,2025-12-31 17:12:11,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 354, 'goods_id': 622, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 16, 'goods_id': 622, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 13, 'goods_id': 622, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
56,编辑 删除,621,10001187,红牛维生素功能饮料/普通型/250ML/24/广东1元乐享促销/2026,0.00740,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,0,1,CAR,1,112.80,2.15,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,75,89,2025-12-31 17:12:11,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 353, 'goods_id': 621, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 15, 'goods_id': 621, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 12, 'goods_id': 621, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
57,编辑 删除,620,10001186,红牛维生素功能饮料/普通型/250ML/24/广东红包促销/2026,0.00740,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,0,1,CAR,1,112.80,2.15,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,75,89,2025-12-31 17:12:11,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 352, 'goods_id': 620, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 14, 'goods_id': 620, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 11, 'goods_id': 620, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
58,编辑 删除,619,10001185,红牛维生素功能饮料/普通型/250ML/24/31周年/两元纸箱/台州专供一期,0.00740,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,0,CAR,1,112.80,2.15,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,75,89,2025-12-31 17:12:11,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 351, 'goods_id': 619, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 13, 'goods_id': 619, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 10, 'goods_id': 619, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
59,编辑 删除,618,10001184,红牛维生素功能饮料/牛磺酸强化型/250ml/24/31周年纪念装,0.00740,1.000,红牛,,红牛强化型,强化型,0,1,3,,,,0,0,CAR,2,120.00,2.15,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,75,89,2025-12-31 17:12:11,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 350, 'goods_id': 618, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 12, 'goods_id': 618, 'price': '120.00', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 9, 'goods_id': 618, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
60,编辑 删除,617,81000253,国产/芙丝水330ML/24瓶装/YOMA,0.00001,1.000,国产芙丝,,国产芙丝,,0,1,3,,,,-617,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,1,2025-12-23 16:52:00,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 349, 'goods_id': 617, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
61,编辑 删除,616,81000221,国产/芙丝水500ML/24瓶装/纯享装,0.00001,1.000,国产芙丝,,国产芙丝,,0,1,3,,,,-616,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,1,2025-12-23 10:08:01,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 348, 'goods_id': 616, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
62,编辑 删除,615,11000359,战马/330ML/24/罐装/含气/夏日柠檬味/广东促销,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-11-28 17:38:10,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
63,编辑 删除,614,11000358,战马/330ML/24/罐装/含气/春日白桃味/广东促销,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-11-28 17:38:10,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
64,编辑 删除,613,11000357,战马/330ML/24/罐装/含气/夏日浆果味/广东促销,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-11-28 17:38:10,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
65,编辑 删除,612,11000353,战马/330ML/24/罐装/含气/夏日柠檬味/常规装,,1.000,罐装战马,,"战马罐装
普通","战马罐装
普通",0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-11-28 17:38:10,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
66,编辑 删除,611,11000352,战马/330ML/24/罐装/含气/春日白桃味/常规装,,1.000,罐装战马,,"战马罐装
普通","战马罐装
普通",0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-11-28 17:38:10,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
67,编辑 删除,610,11000351,战马/330ML/24/罐装/含气/夏日浆果味/常规装,,1.000,罐装战马,,"战马罐装
普通","战马罐装
普通",0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-11-28 17:38:10,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
68,编辑 删除,609,11000350,战马/330ML/24/罐装/含气/菠萝西柚味/常规装,,1.000,罐装战马,,"战马罐装
普通","战马罐装
普通",0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-11-28 17:38:10,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
69,编辑 删除,608,11000349,战马/330ML/24/罐装/含气/蓝莓黑加仑味/常规装,,1.000,罐装战马,,"战马罐装
普通","战马罐装
普通",0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-11-28 17:38:10,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
70,编辑 删除,607,11000348,战马/330ML/24/罐装/含气/青苹果葡萄味/常规装,,1.000,罐装战马,,"战马罐装
普通","战马罐装
普通",0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-11-28 17:38:10,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
71,编辑 删除,606,11000298,战马/180ML/24/罐装/夏黑葡萄味,,1.000,战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,,2025-11-05 17:25:16,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
72,编辑 删除,605,11000334,战马/310ML/24/罐装/2025/广东扫码红包-新包装,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,1,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-09-19 17:56:42,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
73,编辑 删除,604,11000322,战马/310ML/24/罐装/2025/广东扫码1元乐享-新包装,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,1,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-09-19 17:56:42,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
74,编辑 删除,603,11000321,战马/310ML/24/罐装/新包装,,1.000,战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-08-26 17:03:16,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
75,编辑 删除,602,10001165,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码二期/2025,,1.000,红牛,,红牛促销型,箱内码促销,0,1,3,,,,0,1,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-08-15 17:13:44,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
76,编辑 删除,601,10001164,红牛维生素功能饮料/普通型/250ML/24/30周年广东二期箱内码,,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,0,1,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-08-15 17:13:44,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
77,编辑 删除,600,10001163,红牛维生素功能饮料/普通型/250ML/24/广东促销2025（含二期箱码）,,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-08-15 17:13:44,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
78,编辑 删除,599,11000312,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）-新包装,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,-599,1,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-07-25 17:27:41,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 346, 'goods_id': 599, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
79,编辑 删除,598,11000283,战马/400ML/15/不含气/2025/1元乐享（线上核销）/二段,,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-07-01 11:27:36,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
80,编辑 删除,597,11000282,战马/400ML/15/不含气/2025/1元乐享/二段,,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,3,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-07-01 11:27:36,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
81,编辑 删除,596,11000281,战马/400ML/15/不含气/2025/1元乐享（线上核销版）,,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-07-01 11:27:36,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
82,编辑 删除,595,11000280,战马/400ML/15/不含气/2025/1元乐享,,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,0,0,CAR,3,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-07-01 11:27:36,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
83,编辑 删除,594,11000304,战马/310ML/24/罐装/2025/线上1元乐享/二段（无箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
84,编辑 删除,593,11000303,战马/310ML/24/罐装/2025/线上1元乐享/二段（含箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,1,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
85,编辑 删除,592,11000302,战马/310ML/24/罐装/2025/1元乐享/二段-新疆（含箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
86,编辑 删除,591,11000301,战马/310ML/24/罐装/2025/1元乐享/二段（无箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
87,编辑 删除,590,11000300,战马/310ML/24/罐装/2025/1元乐享/二段（含箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,1,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
88,编辑 删除,589,11000273,战马/310ML/24/罐装/2025/线上1元乐享（无箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
89,编辑 删除,588,11000272,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
90,编辑 删除,587,11000270,战马/310ML/24/罐装/2025/1元乐享-新疆（含箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
91,编辑 删除,586,11000268,战马/310ML/24/罐装/2025/1元乐享（无箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
92,编辑 删除,585,11000267,战马/310ML/24/罐装/2025/1元乐享（含箱码）,,1.000,罐装战马,,战马罐装促销,战马罐装2025促销,0,1,3,,,,0,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
93,编辑 删除,584,10001155,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供二期,,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
94,编辑 删除,583,10001153,红牛维生素功能饮料/普通型/250ML/24/1元乐享-江西/2025,,1.000,红牛,,红牛促销型,江西1元促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
95,编辑 删除,582,10001146,红牛维生素功能饮料/普通型/250ML/24/1元乐享-云南贵州/2025,0.00740,0.007,红牛,,红牛促销型,西南促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 347, 'goods_id': 582, 'weight': '0.00740', 'from_date': '2024-01-01', 'expiry_date': '2029-08-01', 'status': 2}]",[],[]
96,编辑 删除,581,10001126,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2025,,1.000,红牛,,红牛普通型,新疆专供,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
97,编辑 删除,580,10001125,红牛维生素功能饮料/普通型/250ML/24/新疆箱内码专供/2025,,1.000,红牛,,红牛促销型,西北促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
98,编辑 删除,579,10001124,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2025,,1.000,红牛,,红牛促销型,西北1元促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
99,编辑 删除,578,10001104,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享/2025,,1.000,红牛,,红牛促销型,扫码促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
100,编辑 删除,577,10001119,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供一期,,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
101,编辑 删除,576,10001118,红牛维生素功能饮料/普通型/250ML/24/30周年/24年广东箱内码三期,,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
102,编辑 删除,575,10001117,红牛维生素功能饮料/牛磺酸强化型/250ml/24/30周年纪念装,,1.000,红牛,,红牛强化型,强化型,0,0,3,,,,0,0,CAR,2,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
103,编辑 删除,574,10001116,红牛维生素功能饮料/普通型/250ML/六罐装/30周年,,0.250,红牛,,红牛六联包,六联包,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
104,编辑 删除,573,10001114,红牛维生素功能饮料/普通型/250ML/24/30周年纪念装,,1.000,红牛,,红牛普通型,红牛普通型,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2025-06-12 18:01:51,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
105,编辑 删除,572,10001105,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码/2025,0.00740,1.000,红牛,,红牛促销型,箱内码促销,0,1,3,,,,-572,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-04-30 10:37:05,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 337, 'goods_id': 572, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '2024-05-31', 'status': 1}, {'id': 338, 'goods_id': 572, 'weight': '0.00740', 'from_date': '2024-06-01', 'expiry_date': '2031-06-30', 'status': 2}, {'id': 339, 'goods_id': 572, 'weight': '0.00001', 'from_date': '2031-07-01', 'expiry_date': '9999-12-31', 'status': 0}]",[],[]
106,编辑 删除,571,10001132,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2025,0.00740,1.000,红牛,,红牛促销型,广西1元促销,0,1,3,,,,-571,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-04-30 10:36:01,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 336, 'goods_id': 571, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '2024-05-31', 'status': 1}, {'id': 342, 'goods_id': 571, 'weight': '0.00740', 'from_date': '2024-06-01', 'expiry_date': '2031-06-30', 'status': 2}, {'id': 343, 'goods_id': 571, 'weight': '0.00001', 'from_date': '2031-07-01', 'expiry_date': '9999-12-31', 'status': 0}]",[],[]
107,编辑 删除,570,10001134,红牛维生素功能饮料/普通型/250ML/24/广东促销/2025,0.00740,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,-570,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-04-23 10:21:09,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 335, 'goods_id': 570, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '2024-05-31', 'status': 1}, {'id': 344, 'goods_id': 570, 'weight': '0.00740', 'from_date': '2024-06-01', 'expiry_date': '2030-06-30', 'status': 2}, {'id': 345, 'goods_id': 570, 'weight': '0.00001', 'from_date': '2030-07-01', 'expiry_date': '9999-12-31', 'status': 0}]",[],[]
108,编辑 删除,569,10001129,红牛维生素功能饮料/普通型/250ML/24/广东扫码中红包/2025,0.00740,1.000,红牛,,红牛促销型,广东专属促销,0,1,3,,,,-569,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2025-04-23 09:52:08,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 334, 'goods_id': 569, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '2024-04-30', 'status': 1}, {'id': 340, 'goods_id': 569, 'weight': '0.00740', 'from_date': '2024-05-01', 'expiry_date': '2032-06-01', 'status': 2}, {'id': 341, 'goods_id': 569, 'weight': '0.00001', 'from_date': '2032-06-02', 'expiry_date': '9999-12-31', 'status': 0}]",[],[]
109,编辑 删除,568,10001081,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码二期/2024,0.00740,1.000,红牛,,红牛普通型,红牛普通型,0,1,3,,,,-568,0,CAR,1,112.80,2.15,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,46,1,2024-08-27 17:11:23,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 333, 'goods_id': 568, 'weight': '0.00740', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 11, 'goods_id': 568, 'price': '112.80', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 8, 'goods_id': 568, 'box_price': '2.15', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
110,编辑 删除,566,10001060,红牛维生素功能饮料/普通型/250ML/24/1元换购-新疆青海/2024,0.00740,1.000,红牛,,红牛促销型,西北1元促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-04-01 15:13:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 328, 'goods_id': 566, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
111,编辑 删除,565,10001054,红牛维生素功能饮料/普通型/250ML/24/扫码促销-台州2元回收/2024,0.00740,1.000,红牛,,红牛促销型,扫码促销,0,1,3,,,,0,0,CAR,1,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-04-01 15:13:54,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 323, 'goods_id': 565, 'weight': '0.00740', 'from_date': '2024-04-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
